PLAYER,COUNT,TIER,SCORE,
Hulk,359,1,91691,8468
Fisk,318,1,67628,
Diabolik,236,1,17274,
Morg,177,1,19752,
Marvi,151,1,8835,
Thoth,125,1,14231,
Rudolf,122,1,5193,
SJ III SoH,120,1,18610,
Brandemet,120,1,7242,
Germanicus,113,1,15649,
Mr BaCk,109,1,10033,
Rhodry,105,1,19273,
Braveheart,101,1,11007,
Feli,99,1,11886,
Karodor,98,1,8223,
Fosida,92,1,9332,
Cerim,86,1,4155,
Gradog,57,1,6892,
Tumitac,47,1,6674,
Heretical Hermit,43,1,9120,
doc48,42,1,5869,
Accelerator,35,1,2192,
Mabrinad,33,1,3908,
DAJMITU,27,1,6779,
Grosvenor,22,1,4497,
Rain,17,1,1628,
Mighty Forger,15,1,3090,
RatkoM,15,1,2896,
Luciditee,15,1,1260,
KARMA,11,1,2546,
Foxhunter,4,1,875,
Lirinir,0,1,0,
Morn,0,1,0,
MONTES,966,2,10949,
NEVIO,191,2,20888,
Xena,157,2,12149,
Sir RES,152,2,6479,
Thorn,142,2,19650,
D23,120,2,8644,
Vlad the Impaler,117,2,5233,
Rainblade,112,2,3418,
Eydaen,109,2,1927,
Rebellion,92,2,2860,
Muradin Bb,88,2,5979,
Well Constantino,86,2,3070,
DarkAngel,84,2,2871,
Bjorn,76,2,7446,
Sire Menion,72,2,10625,
Xan,70,2,2140,
Logan,61,2,8127,
Tricolor Carioca,57,2,5858,
nervous,56,2,1391,
Foolish Mortal,55,2,2797,
Pearl,50,2,2812,
Uhtred,48,2,5377,
Racibor,48,2,3636,
Immortal,43,2,1021,
Genghis Khan,37,2,2889,
Alberikh,34,2,3721,
Fire Armor,32,2,2556,
Turbrimir,30,2,444,
Maedrosin,26,2,2979,
idaco,26,2,2258,
Kerilir,24,2,1699,
Conjudred,23,2,2100,
Sir Cthulhu I,20,2,3046,
Legolas,17,2,2425,
MILI,6,2,294,
Amginir,2,2,8,
Masius,652,3,7719,
Lanfir,198,3,844,
MADMAN,121,3,7634,
Marcelo,104,3,3216,
Mazura,102,3,1956,
RED GUARDIAN,96,3,6321,
M MUSASHI,78,3,1297,
zipkinci,67,3,1944,
Jill,61,3,6534,
Lady G,60,3,3400,
Bamsi,58,3,1776,
Brann Bronzebeard,58,3,313,
Kirimand,55,3,1204,
Gros jnr,47,3,3522,
Sailv,45,3,2170,
Painmoon,38,3,1142,
NaChos,38,3,812,
Sabar,37,3,1023,
Saucy Joy,31,3,717,
Lanmoin,27,3,939,
Grozilkree,25,3,414,
Nobody special,20,3,263,
Thor,17,3,819,
Silverblade,14,3,190,
Felharne,13,3,52,
Dacage,8,3,136,
3CPo,4,3,16,
Sassy Gal,3,3,59,
Cyril Figgis,3,3,51,
Digore,1,3,4,
Pryntyl,0,3,0,
StarSailor,0,3,0,
MMM,144,,2500,
Aegrosad,0,,0,
Archie,0,,0,
Arni,0,,0,
Bad FutherMucker,0,,0,
Black Mamba,0,,0,
Braveheart JNR,0,,0,
Brightskin,0,,0,
Cain,0,,0,
Catty,0,,0,
Cenaya,0,,0,
Cesarz Saleka,0,,0,
Cesarzowa Cwieka,0,,0,
Cosmic Dancer,0,,0,
DON IRON MIKE TYSON,0,,0,
Dafur,0,,0,
Deep Inside,0,,0,
Doctor Krieger,0,,0,
Dr Bruce BANNER,0,,0,
Dragon Armor,0,,0,
Drugo,0,,0,
Dugul,0,,0,
EL CHAPO GUZMAN,0,,0,
FERDAUS,0,,0,
Fagon,0,,0,
Funfiren,0,,0,
Grikelv,0,,0,
Haiiro,0,,0,
Immortal I,0,,0,
Jeepster,0,,0,
KASS,0,,0,
Kajko,0,,0,
Karo 3,0,,0,
Karodor2,0,,0,
Kit Carson,0,,0,
Kokosz,0,,0,
Kordobrek,0,,0,
Kyperion Du Torbiney,0,,0,
LETS GO BRANDON,0,,0,
Legon,0,,0,
Lerinad,0,,0,
Lilor,0,,0,
Lorfanor,0,,0,
MMMm,0,,0,
Maanan,0,,0,
Mador,0,,0,
Maelstrom,0,,0,
Mal the Uncrowned,0,,0,
Manandis,0,,0,
Marco,0,,0,
MarcusTulliusCicero,0,,0,
Marvilla,0,,0,
Maximus Decimus,0,,0,
Meddry,0,,0,
Mingo 2,0,,0,
Modnar,0,,0,
Monster Killer,0,,0,
Nevyn,0,,0,
Norbee1984,0,,0,
Nygus,0,,0,
Ognisty Smok,0,,0,
Puck,0,,0,
Quick,0,,0,
Ray Gillette,0,,0,
Rhodorix,0,,0,
Secret Keeper,0,,0,
Sir Chthulhu I,0,,0,
Smok,0,,0,
Smokn,0,,0,
TOKUGAWA NOBUNAGA,0,,0,
Tex Willer,0,,0,
Tonto,0,,0,
Tygradi,0,,0,
Viper I,0,,0,
Xavier St Cloud,0,,0,
Xenia,0,,0,
ZaCk,0,,0,
semoury,0,,0,
