PLAYER,COUNT,TIER,SCORE,,9379
Brandemet,819,1,32346,,
Diabolik,348,1,16770,,
Hulk,261,1,61192,,
Morg,209,1,27685,,
Marvi,162,1,10179,,
Rhodry,133,1,31698,,
Foxhunter,105,1,9799,,
Mr BaCk,105,1,9760,,
Rudolf,103,1,6746,,
Karodor,92,1,6006,,
Sire Menion,91,1,9577,,
Braveheart,89,1,6827,,
SJ III SoH,85,1,9816,,
RatkoM,79,1,13902,,
doc48,74,1,7143,,
Nilaath,73,1,6200,,
Legolas,72,1,4574,,
Germanicus,66,1,4720,,
Heretical Hermit,63,1,12195,,
Thoth,60,1,6604,,
KARMA,57,1,10557,,
Mighty Forger,55,1,9411,,
Fosida,53,1,6793,,
Rain,49,1,3220,,
Max Decimus,43,1,5822,,
Gradog,41,1,6727,,
Mabrinad,41,1,3437,,
Tumitac,40,1,7650,,
idaco,36,1,1057,,
Feli,35,1,4372,,
Grosvenor,25,1,3836,,
DAJMITU,12,1,2276,,
Accelerator,5,1,420,,
Lirinir,1,1,84,,
MONTES,1031,2,9754,,
Thorn,210,2,31706,,
Logan,178,2,13963,,
Rebellion,160,2,38343,,
Sir RES,144,2,3164,,
Immortal,131,2,2640,,
NEVIO,126,2,12981,,
Vlad the Impaler,125,2,3456,,
Uhtred,119,2,23312,,
Eydaen,112,2,2301,,
Rainblade,99,2,2127,,
DarkAngel,93,2,2154,,
Well Constantino,68,2,2332,,
Pearl,56,2,2886,,
Muradin Bb,54,2,2833,,
D23,50,2,3490,,
Racibor,49,2,4633,,
Sir Cthulhu I,35,2,3894,,
Xena,35,2,2488,,
Alberikh,31,2,4622,,
Tricolor Carioca,29,2,2642,,
Fire Armor,28,2,2250,,
Bjorn,23,2,2220,,
Conjudred,21,2,4235,,
Kerilir,18,2,1256,,
Amginir,14,2,2513,,
Xan,9,2,151,,
Maedrosin,8,2,1054,,
Foolish Mortal,7,2,743,,
MILI,6,2,198,,
Silverblade,424,3,7828,,
Nygus,387,3,1932,,
Marvilla,98,3,656,,
Mazura,93,3,3001,,
Granidred,83,3,1940,,
Marcelo,75,3,2098,,
Lady G,66,3,2587,,
Grozilkree,66,3,1392,,
RED GUARDIAN,59,3,4460,,
Bamsi,45,3,1290,,
Saucy Joy,45,3,1091,,
Kirimand,45,3,576,,
MADMAN,38,3,2175,,
Legon,31,3,101,,
M MUSASHI,27,3,391,,
Dugul,25,3,815,,
Maanan,25,3,90,,
Kall,24,3,554,,
T NOBUNAGA,24,3,512,,
Painmoon,23,3,1374,,
B FutherMucker,23,3,447,,
Nobody special,23,3,198,,
Braveheart JNR,20,3,985,,
Tygradi,18,3,80,,
zipkinci,15,3,505,,
Heimdall,11,3,202,,
Grikelv,10,3,256,,
Felharne,8,3,32,,
Lerinad,7,3,218,,
Sterling Archer,3,3,51,,
3CPo,3,3,12,,
Quick,3,3,6,,
Cenaya,2,3,5,,
Tha Supreme,1,3,84,,
StarSailor,0,3,0,,
MMM,878,,0,,
Aegrosad,0,,0,,
Archie,0,,0,,
Arni,0,,0,,
Black Mamba,0,,0,,
Brann Bronzebeard,0,,0,,
Brightskin,0,,0,,
Cain,0,,0,,
Catty,0,,0,,
Cerim,0,,0,,
Cesarz Saleka,0,,0,,
Cesarzowa Cwieka,0,,0,,
Cosmic Dancer,0,,0,,
Cyril Figgis,0,,0,,
DON IRON MIKE TYSON,0,,0,,
Dacage,0,,0,,
Dafur,0,,0,,
Deep Inside,0,,0,,
Digore,0,,0,,
Doctor Krieger,0,,0,,
Dr Bruce BANNER,0,,0,,
Dragon Armor,0,,0,,
Drugo,0,,0,,
EL CHAPO GUZMAN,0,,0,,
FERDAUS,0,,0,,
Fagon,0,,0,,
Fisk,0,,0,,
Funfiren,0,,0,,
Genghis Khan,0,,0,,
Gros jnr,0,,0,,
Haiiro,0,,0,,
Immortal I,0,,0,,
Jeepster,0,,0,,
Jill,0,,0,,
KASS,0,,0,,
Kajko,0,,0,,
Karo 3,0,,0,,
Karodor2,0,,0,,
Kit Carson,0,,0,,
Kokosz,0,,0,,
Kordobrek,0,,0,,
Kyperion Du Torbiney,0,,0,,
LETS GO BRANDON,0,,0,,
Lanfir,0,,0,,
Lanmoin,0,,0,,
Lilor,0,,0,,
Lorfanor,0,,0,,
Luciditee,0,,0,,
MMMm,0,,0,,
Mador,0,,0,,
Maelstrom,0,,0,,
Mal the Uncrowned,0,,0,,
Manandis,0,,0,,
Marco,0,,0,,
MarcusTulliusCicero,0,,0,,
Masius,0,,0,,
Meddry,0,,0,,
Mingo 2,0,,0,,
Modnar,0,,0,,
Monster Killer,0,,0,,
Morn,0,,0,,
NaChos,0,,0,,
Nevyn,0,,0,,
Norbee1984,0,,0,,
Ognisty Smok,0,,0,,
Pryntyl,0,,0,,
Puck,0,,0,,
Ray Gillette,0,,0,,
Rhodorix,0,,0,,
Sabar,0,,0,,
Sailv,0,,0,,
Sassy Gal,0,,0,,
Secret Keeper,0,,0,,
Sir Chthulhu I,0,,0,,
Smok,0,,0,,
Smokn,0,,0,,
Tex Willer,0,,0,,
Thor,0,,0,,
Tonto,0,,0,,
Turbrimir,0,,0,,
Viper I,0,,0,,
Xavier St Cloud,0,,0,,
Xenia,0,,0,,
ZaCk,0,,0,,
nervous,0,,0,,
semoury,0,,0,,
