PLAYER,SCORE,COUNT
Hulk,41771,132
Sir James III Son of Hadur,30856,125
Heretical Hermit,22720,72
Racibor,20144,133
Rhodry,18369,88
Marvi,16844,276
Morg,15872,101
Maximus Decimus,10392,51
Mighty Forger,9734,92
Mr BaCk,8699,102
Rudolf,8358,104
Tumitac,8079,44
Fosida,7184,38
Foxhunter,7100,174
RatkoM,7084,35
Lirinir,6710,41
Xena,6624,91
Logan,6227,164
Feli,5963,92
Tha Supreme,5790,58
Uhtred,5694,57
doc48,5680,55
KARMA,5679,19
Nilaath,5391,43
Bjorn,5304,52
Germanicus,5262,73
Thorn,5094,94
Thoth,5076,42
Grosvenor,5073,26
Gradog,4965,42
Muradin Bronzebeard,4573,76
RED GUARDIAN,4148,74
Alberikh,4012,29
MADMAN,3984,72
DAJMITU,3861,24
Sir RES,3692,138
Fire Armor,3604,41
Vlad the Impaler,3571,126
Sir Cthulhu I,3522,39
NEVIO,3382,38
Braveheart,3289,97
Rain,3225,25
Pearl,3048,36
D23,2965,50
Mabrinad,2931,35
Karodor,2849,39
Foolish Mortal,2728,91
Grozilkree,2698,116
Lady G,2675,88
Rebellion,2608,23
Legolas,2519,21
Brandemet,2505,33
Bad FutherMucker,2392,29
Granidred,2358,93
Tricolor Carioca,2301,29
Maedrosin,2276,18
Well Constantino,2198,48
DarkAngel,2065,85
Rainblade,2004,83
Bamsi,1770,67
Eydaen,1698,95
Conjudred,1618,14
MONTES,1604,22
Marcelo,1373,75
Kirimand,1317,78
Kerilir,1306,19
Dugul,1234,23
Amginir,1174,9
Painmoon,1145,24
Immortal,979,53
TOKUGAWA NOBUNAGA,921,52
idaco,866,24
Nobody special,795,58
Mazura,765,37
Nygus,665,34
Kall,649,24
zipkinci,642,22
Diabolik,580,20
Marvilla,513,87
MILI,481,4
Xan,428,9
Silverblade,354,35
Sire Menion,306,20
Lerinad,278,7
Legon,260,44
Saucy Joy,257,30
Felharne,212,4
LETS GO BRANDON,135,21
Sterling Archer,51,3
Maanan,50,15
Tygradi,28,7
Dr Bruce BANNER,18,2
Heimdall,18,2
Quick,18,2
Braveheart JNR,5,2
MMM,0,969
3CPo,0,0
Accelerator,0,0
Aegrosad,0,0
Archie,0,0
Arni,0,0
Black Mamba,0,0
Brann Bronzebeard,0,0
Brightskin,0,0
Cain,0,0
Catty,0,0
Cenaya,0,0
Cerim,0,0
Cesarz Saleka,0,0
Cesarzowa Cwieka,0,0
Cosmic Dancer,0,0
Cyril Figgis,0,0
DON IRON MIKE TYSON,0,0
Dacage,0,0
Dafur,0,0
Deep Inside,0,0
Digore,0,0
Doctor Krieger,0,0
Dragon Armor,0,0
Drugo,0,0
EL CHAPO GUZMAN,0,0
FERDAUS,0,0
Fagon,0,0
Fisk,0,0
Funfiren,0,0
Genghis Khan,0,0
Grikelv,0,0
Gros jnr,0,0
Haiiro,0,0
Immortal I,0,0
Jeepster,0,0
Jill,0,0
KASS,0,0
Kajko,0,0
Karo 3,0,0
Karodor2,0,0
Kit Carson,0,0
Kokosz,0,0
Kordobrek,0,0
Kyperion Du Torbiney,0,0
Lanfir,0,0
Lanmoin,0,0
Lilor,0,0
Lorfanor,0,0
Luciditee,0,0
MIYAMOTO MUSASHI,0,0
MMMm,0,0
Mador,0,0
Maelstrom,0,0
Mal the Uncrowned,0,0
Manandis,0,0
Marco,0,0
MarcusTulliusCicero,0,0
Masius,0,0
Meddry,0,0
Mingo 2,0,0
Modnar,0,0
Monster Killer,0,0
Morn,0,0
NaChos,0,0
Nevyn,0,0
Norbee1984,0,0
Ognisty Smok,0,0
Pryntyl,0,0
Puck,0,0
Ray Gillette,0,0
Rhodorix,0,0
Sabar,0,0
Sailv,0,0
Sassy Gal,0,0
Secret Keeper,0,0
Sir Chthulhu I,0,0
Smok,0,0
Smokn,0,0
StarSailor,0,0
Tex Willer,0,0
Thor,0,0
Tonto,0,0
Turbrimir,0,0
Viper I,0,0
Xavier St Cloud,0,0
Xenia,0,0
ZaCk,0,0
nervous,0,0
semoury,0,0
