PLAYER,COUNT,TIER,SCORE,,
Mr BaCk,419,1,16248,,
Mighty Forger,207,1,46302,,
Germanicus,166,1,17390,,
Rudolf,142,1,7192,,
Mabrinad,121,1,28333,,
Braveheart,117,1,2573,,
doc48,114,1,10976,,
Bubino71,105,1,13222,,
Thoth,104,1,9658,,
Morg,91,1,14965,,
Foxhunter,83,1,6629,,
Fosida,76,1,10130,,
SJ III SoH,75,1,8407,,
Marvi,71,1,3734,,
Sire Menion,65,1,4831,,
Feli,64,1,11488,,
Rhodry,63,1,7536,,
Gradog,62,1,10130,,
Brandemet,62,1,4480,,
Diabolik,58,1,2602,,
Tumitac,57,1,8978,,
Rain,55,1,4828,,
Nilaath,44,1,4475,,
idaco,39,1,1490,,
Max Decimus,37,1,5527,,
Grosvenor,35,1,9715,,
Logan,32,1,805,,
Lirinir,25,1,3401,,
desperados,24,1,4015,,
Karodor,24,1,1783,,
Heretical Hermit,19,1,3552,,
Legolas,16,1,1966,,
RatkoM,7,1,1522,,
Accelerator,0,1,0,,
Vlad the Impaler,165,2,5193,,
Sir RES,150,2,5627,,
Thorn,144,2,16709,,
Xena,136,2,7574,,
Eydaen,118,2,6010,,
Alberikh,108,2,27490,,
Foolish Mortal,97,2,6603,,
Marcelo,80,2,1392,,
aganaway,76,2,6037,,
D23,75,2,5153,,
DarkAngel,74,2,2181,,
Rudepravo Itali,73,2,4020,,
Well Constantino,66,2,2809,,
Immortal,63,2,1095,,
Racibor,58,2,4750,,
Uhtred,55,2,5571,,
Fire Armor,55,2,5209,,
Muradin Bb,55,2,3365,,
NEVIO,47,2,2593,,
Rainblade,41,2,804,,
Maedrosin,38,2,7437,,6094
Pearl,38,2,1590,,
MONTES,37,2,2057,,
MILI,32,2,1383,,
Kerilir,30,2,2796,,
Bjorn,29,2,2173,,
Tricolor Carioca,25,2,2407,,
Conjudred,21,2,3367,,
Amginir,20,2,1457,,
DAJMITU,11,2,1012,,
Xan,8,2,463,,
nervous,2,2,5,,
Masius,136,3,1854,,
Lady Hawke,133,3,357,,
Kirimand,85,3,2248,,
MADMAN,74,3,4807,,
Bamsi,74,3,1091,,
Grozilkree,63,3,1642,,
Saucy Joy,53,3,759,,
Cain,53,3,137,,
Tha Supreme,51,3,3012,,
Granidred,46,3,866,,
RED GUARDIAN,42,3,2515,,
Mazura,41,3,2716,,
Dacage,39,3,663,,
T NOBUNAGA,39,3,469,,
Minerva,34,3,1515,,
Nobody special,31,3,438,,
Painmoon,30,3,1498,,
Kokosz,28,3,2504,,
Rebellion,28,3,2205,,
Silverblade,26,3,248,,
Digore,23,3,82,,
zipkinci,19,3,390,,
Gros jnr,18,3,1010,,
Legon,16,3,348,,
Lady G,15,3,1225,,
Nygus,11,3,319,,
Manandis,10,3,563,,
3CPo,10,3,37,,
Mausida,9,3,323,,
Tygojind,5,3,300,,
Dr BANNER,4,3,130,,
Lirafin,3,3,55,,
Hermit,3,3,51,,
Ognisty Smok,2,3,8,,
MarcusTC,1,3,4,,
MMM,133,,2500,,
Aegrosad,0,,0,,
Archie,0,,0,,
Arni,0,,0,,
Bad FutherMucker,0,,0,,
Black Mamba,0,,0,,
Brann Bronzebeard,0,,0,,
Braveheart JNR,0,,0,,
Brightskin,0,,0,,
Catty,0,,0,,
Cenaya,0,,0,,
Cerim,0,,0,,
Cesarz Saleka,0,,0,,
Cesarzowa Cwieka,0,,0,,
Cosmic Dancer,0,,0,,
Cyril Figgis,0,,0,,
