PLAYER,COUNT,TIER,MIGHT (M),SCORE
MONTES,502,2,114,5028
Brandemet,183,1,159,5071
Mogra,162,2,98,19235
Cenaya,147,3,4,356
Marvi,145,1,166,10070
Karodor,121,1,272,7373
KARMA,120,1,539,33695
Mr BaCk,118,1,194,11967
Germanicus,106,1,242,25297
Fabrinir,103,1,152,7860
Sir RES,103,2,89,6583
Eydaen,93,2,74,1829
Cain,89,3,9,1657
Monaoka,83,3,39,1926
Rudolf,79,1,165,4588
Marvilla,79,3,28,827
Lirinir,75,1,202,13538
Vlad the Impaler,72,2,109,1335
Tolnozin,72,3,45,5111
Logan,69,1,124,3366
SJ III SoH,66,1,467,4426
D23,66,2,93,5783
Lady G,63,3,57,3145
MMM,60,,,0
Feli,59,1,209,4891
Rhodry,58,1,337,9461
DarkAngel,58,2,75,1410
Fosida,57,1,120,6366
Marcelo,56,2,84,1123
RatkoM,52,1,268,7642
MADMAN,52,3,58,3104
Thorn,50,2,113,14946
Jaakarhu,50,2,106,4266
Heretical Hermit,49,1,732,7103
NEVIO,49,1,127,3183
Racibor,49,2,108,4352
Bjorn,46,2,97,4287
Thoth,46,2,107,3899
Gradog,44,1,251,6530
Rainblade,42,2,83,705
Bamsi,42,2,68,594
Kirimand,41,3,33,1589
doc48,39,1,189,3112
Alberikh,39,2,84,9203
Uhtred,39,2,99,4025
Dabb,38,2,66,2447
Magda Ewa,38,2,115,1452
AlexLeroc,38,3,54,955
Foolish Mortal,37,2,107,3426
M MUSASHI,36,3,36,405
Lerinad,35,3,20,2414
Granidred,35,3,38,887
Saucy Joy,35,3,51,398
Immortal,32,1,122,3170
Well Constantino,32,2,84,1342
Tumitac,30,1,188,3551
Grozilkree,29,3,54,517
Nilaath,28,1,159,2141
Diabolik,28,1,144,1103
Rain,27,1,126,1094
Amginir,27,2,115,2497
Legolas,26,1,120,2995
Mabrinad,26,1,126,1928
Grikelv,25,3,27,739
Foxhunter,24,2,108,2674
NaChos,24,3,,1129
Maedrosin,22,2,84,2727
MONA,22,3,,730
Rudepravo Itali,21,2,84,1747
Mighty Forger,18,1,173,3204
Golgotha,18,2,80,2120
Kerilir,18,2,100,1120
zipkinci,17,3,51,356
Bunnyman,16,3,9,1401
Painmoon,15,2,76,1943
Tha Supreme,15,2,60,971
MILI,15,2,66,228
Mausida,15,3,10,403
Ladacznica,14,3,9,706
Heimdall,14,3,7,704
Silverblade,14,3,26,58
RED GUARDIAN,12,3,38,1816
Tex Willer,11,3,56,1038
Morg,10,1,183,2229
Nobody special,10,3,30,198
Xan,8,2,88,123
Ognisty Smok,5,3,20,20
Hulk,3,1,698,86
DAJMITU,2,2,109,279
Rebellion,2,3,56,550
Braveheart,0,1,192,0
idaco,0,1,123,0
Sir Cthulhu I,0,2,76,0
Hector,0,3,45,0
Jeepster,0,3,18,0
Lordis,0,3,3,0
3CPo,0,3,2,0
Unicorn X,0,3,1,0
Finvenen,0,3,0.02,0
Accelerator,0,,,0
Aegrosad,0,,,0
Alexander Greek,0,,,0
Archie,0,,,0
Arni,0,,,0
Bad FutherMucker,0,,,0
Black Mamba,0,,,0
Brann Bronzebeard,0,,,0
Braveheart JNR,0,,,0
Brightskin,0,,,0
Bubino71,0,,,0
Catty,0,,,0
Cerim,0,,,0
Cesarz Saleka,0,,,0
Cesarzowa Cwieka,0,,,0
Conjudred,0,,,0
Cosmic Dancer,0,,,0
Cyril Figgis,0,,,0
DON IRON MIKE TYSON,0,,,0
Dacage,0,,,0
Dafur,0,,,0
Deep Inside,0,,,0
Digore,0,,,0
Doctor Krieger,0,,,0
Dr Bruce BANNER,0,,,0
Dragon Armor,0,,,0
Drugo,0,,,0
Dugul,0,,,0
EL CHAPO GUZMAN,0,,,0
FERDAUS,0,,,0
Fagon,0,,,0
Felharne,0,,,0
Fire Armor,0,,,0
Fisk,0,,,0
Funfiren,0,,,0
Genghis Khan,0,,,0
Gros jnr,0,,,0
Grosvenor,0,,,0
Haiiro,0,,,0
Hermit,0,,,0
Immortal I,0,,,0
Jill,0,,,0
KASS,0,,,0
Kajko,0,,,0
Kall,0,,,0
Karo 3,0,,,0
Karodor2,0,,,0
Kit Carson,0,,,0
Kokosz,0,,,0
Kordobrek,0,,,0
Kyperion Du Torbiney,0,,,0
LETS GO BRANDON,0,,,0
Lady Hawke,0,,,0
Lanfir,0,,,0
Lanmoin,0,,,0
Legon,0,,,0
Lilor,0,,,0
Lirafin,0,,,0
Lorfanor,0,,,0
Luciditee,0,,,0
MMMm,0,,,0
Maanan,0,,,0
Mador,0,,,0
Maelstrom,0,,,0
Mal the Uncrowned,0,,,0
Manandis,0,,,0
Marco,0,,,0
MarcusTulliusCicero,0,,,0
Masius,0,,,0
Maximus Decimus,0,,,0
Mazura,0,,,0
Meddry,0,,,0
Minerva,0,,,0
Mingo 2,0,,,0
Modnar,0,,,0
Monster Killer,0,,,0
Morn,0,,,0
Muradin Bronzebeard,0,,,0
Nevyn,0,,,0
Norbee1984,0,,,0
Nygus,0,,,0
Pearl,0,,,0
Pryntyl,0,,,0
Puck,0,,,0
Quick,0,,,0
Ray Gillette,0,,,0
Rhodorix,0,,,0
Rori,0,,,0
Sabar,0,,,0
Sailv,0,,,0
Sassy Gal,0,,,0
Secret Keeper,0,,,0
Sir Chthulhu I,0,,,0
Sire Menion,0,,,0
Smok,0,,,0
Smokn,0,,,0
StarSailor,0,,,0
Sterling Archer,0,,,0
TOKUGAWA NOBUNAGA,0,,,0
The Gladiator,0,,,0
Thor,0,,,0
Tonto,0,,,0
Tricolor Carioca,0,,,0
Turbrimir,0,,,0
Tygojind,0,,,0
Tygoran,0,,,0
Tygradi,0,,,0
Viper I,0,,,0
Xavier St Cloud,0,,,0
Xena,0,,,0
Xenia,0,,,0
ZaCk,0,,,0
aganaway,0,,,0
desperados,0,,,0
nervous,0,,,0
semoury,0,,,0
