PLAYER,,TOTAL,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25
Karodor,,249,6,16,35,68,2,15,107
Mr BaCk,,162,14,33,37,37,0,14,27
Brandemet,,100,11,13,24,6,1,13,32
NEVIO,,90,0,3,48,5,0,24,10
Heretical Hermit,,71,0,0,0,6,0,0,65
Fosida,,63,26,25,6,0,0,6,0
Rudolf,,57,10,15,14,0,0,18,0
Rhodry,,54,2,5,7,5,28,3,4
Silverblade,,43,10,15,14,0,0,3,1
Feli,,41,0,10,24,2,0,4,1
Granidred,,40,16,19,5,0,0,0,0
Germanicus,,39,0,0,0,35,1,0,3
Fabrinir,,38,2,2,9,10,0,4,11
Gradog,,35,0,0,0,27,5,0,3
Menelaos,,35,8,20,7,0,0,0,0
Braveheart,,33,0,6,21,6,0,0,0
Racibor,,28,0,14,7,2,0,5,0
Morg,,27,0,1,5,4,11,0,6
Snowberry,,27,12,15,0,0,0,0,0
Foxhunter,,25,1,2,3,6,0,3,10
Logan,,24,4,7,7,0,0,3,3
Thoth,,24,18,6,0,0,0,0,0
Lady G,,14,8,6,0,0,0,0,0
Sir James III Son of Hadur,,14,0,0,0,14,0,0,0
doc48,,13,6,4,1,1,0,0,1
Grozilkree,,12,0,7,5,0,0,0,0
Alberikh,,10,0,0,0,10,0,0,0
Marvi,,10,4,5,1,0,0,0,0
Bamsi,,9,3,3,3,0,0,0,0
Grikelv,,8,0,4,4,0,0,0,0
Vlad the Impaler,,8,2,1,5,0,0,0,0
TOKUGAWA NOBUNAGA,,7,4,3,0,0,0,0,0
Diovani,,6,1,3,2,0,0,0,0
Jaakarhu,,6,1,3,2,0,0,0,0
MADMAN,,6,0,0,6,0,0,0,0
Rainblade,,6,3,3,0,0,0,0,0
Legolas,,5,0,0,1,1,0,3,0
Mausida,,5,2,3,0,0,0,0,0
AlexLeroc,,4,0,1,0,0,0,3,0
Defur,,4,4,0,0,0,0,0,0
Golgotha,,4,0,0,4,0,0,0,0
Lirinir,,4,0,0,0,1,0,0,3
Lorfanor,,4,2,1,1,0,0,0,0
Sir RES,,4,1,2,1,0,0,0,0
Diabolik,,3,2,1,0,0,0,0,0
Kirimand,,3,0,3,0,0,0,0,0
Darvenen,,2,0,2,0,0,0,0,0
Eydaen,,2,1,0,1,0,0,0,0
Nilaath,,2,0,1,1,0,0,0,0
Funfiren,,1,1,0,0,0,0,0,0
MONTES,,1,1,0,0,0,0,0,0
Painmoon,,1,1,0,0,0,0,0,0
RED GUARDIAN,,1,1,0,0,0,0,0,0
Rebellion,,1,1,0,0,0,0,0,0
Rudepravo Italiano,,1,1,0,0,0,0,0,0
Xan,,1,1,0,0,0,0,0,0
3CPo,,0,0,0,0,0,0,0,0
Accelerator,,0,0,0,0,0,0,0,0
Aegrosad,,0,0,0,0,0,0,0,0
Akinomuro,,0,0,0,0,0,0,0,0
Alexander Greek,,0,0,0,0,0,0,0,0
Amginir,,0,0,0,0,0,0,0,0
Archie,,0,0,0,0,0,0,0,0
Arni,,0,0,0,0,0,0,0,0
Bad FutherMucker,,0,0,0,0,0,0,0,0
Bjorn,,0,0,0,0,0,0,0,0
Black Mamba,,0,0,0,0,0,0,0,0
Brann Bronzebeard,,0,0,0,0,0,0,0,0
Braveheart JNR,,0,0,0,0,0,0,0,0
Brightskin,,0,0,0,0,0,0,0,0
Bubino71,,0,0,0,0,0,0,0,0
Bunnyman,,0,0,0,0,0,0,0,0
Cain,,0,0,0,0,0,0,0,0
Catty,,0,0,0,0,0,0,0,0
Cenaya,,0,0,0,0,0,0,0,0
Cerim,,0,0,0,0,0,0,0,0
Cesarz Saleka,,0,0,0,0,0,0,0,0
Cesarzowa Cwieka,,0,0,0,0,0,0,0,0
Conjudred,,0,0,0,0,0,0,0,0
Cosmic Dancer,,0,0,0,0,0,0,0,0
Cyril Figgis,,0,0,0,0,0,0,0,0
D23,,0,0,0,0,0,0,0,0
DAJMITU,,0,0,0,0,0,0,0,0
DON IRON MIKE TYSON,,0,0,0,0,0,0,0,0
Dabb,,0,0,0,0,0,0,0,0
Dacage,,0,0,0,0,0,0,0,0
Dafur,,0,0,0,0,0,0,0,0
DarkAngel,,0,0,0,0,0,0,0,0
Deep Inside,,0,0,0,0,0,0,0,0
Digore,,0,0,0,0,0,0,0,0
Doctor Krieger,,0,0,0,0,0,0,0,0
Dr Bruce BANNER,,0,0,0,0,0,0,0,0
Dragon Armor,,0,0,0,0,0,0,0,0
Drugo,,0,0,0,0,0,0,0,0
Dugul,,0,0,0,0,0,0,0,0
EL CHAPO GUZMAN,,0,0,0,0,0,0,0,0
Eyfedef,,0,0,0,0,0,0,0,0
FERDAUS,,0,0,0,0,0,0,0,0
Fagon,,0,0,0,0,0,0,0,0
Fearlessbeard,,0,0,0,0,0,0,0,0
Felharne,,0,0,0,0,0,0,0,0
