TIER,PLAYER,,COUNT,CITS,,SCORE
1,Karodor,x,328,249,,58978
1,Mr BaCk,x,294,162,,34185
1,Brandemet,x,220,100,,18141
1,NEVIO,x,184,90,,24349
1,Heretical Hermit,x,163,71,,40360
1,Fosida,x,127,63,,3958
1,Rudolf,x,111,57,,4520
1,Rhodry,,100,54,,24013
1,Feli,,67,41,,8833
1,Germanicus,,102,39,,27142
1,Fabrinir,,93,38,,13269
1,Gradog,,71,35,,17538
1,Braveheart,,96,33,,9693
1,Racibor,,76,28,,5433
1,Morg,,40,27,,8318
1,Thoth,,60,24,,4163
1,Logan,,44,24,,3279
1,SJ III SoH,,54,14,,9543
1,doc48,,82,13,,7607
1,Marvi,,142,10,,6982
1,Legolas,,49,5,,4160
1,Lirinir,,5,4,,1375
1,Diabolik,,50,3,,2819
1,Nilaath,,38,2,,4948
1,Mighty Forger,,36,0,,8383
1,Tumitac,,30,0,,4587
1,Amginir,,17,0,,4050
1,Immortal,,16,0,,1334
1,idaco,,16,0,,803
1,Mabrinad,,13,0,,889
1,Hulk,,6,0,,1134
1,KARMA,,6,0,,885
1,Max Decimus,,4,0,,651
2,Menelaos,,163,35,,4950
2,Snowberry,,77,27,,2134
2,Foxhunter,,74,25,,6869
2,Alberikh,,38,10,,9359
2,Bamsi,,100,9,,2231
2,Vlad the Impaler,,85,8,,2849
2,Rainblade,,60,6,,1516
2,Jaakarhu,,36,6,,2315
2,Sir RES,,124,4,,2746
2,Golgotha,,10,4,,1554
2,Eydaen,,102,2,,2935
2,Xan,,56,1,,981
2,Painmoon,,34,1,,4576
2,Rudepravo Italiano,,29,1,,1091
2,MONTES,,6,1,,34
2,Marcelo,,83,0,,1154
2,DarkAngel,,36,0,,1851
2,Magda Ewa,,33,0,,1244
2,Uhtred,,32,0,,2606
2,Kerilir,,31,0,,2389
2,Foolish Mortal,,31,0,,1013
2,Well Constantino,,24,0,,1723
2,Maedrosin,,22,0,,2735
2,Bjorn,,22,0,,1089
2,MILI,,22,0,,410
