PLAYER,TOTAL,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25
Heretical Hermit,1076,0,0,0,0,30,0,1046
Rhodry,178,27,20,31,27,22,19,32
Marvi,174,40,50,55,0,0,29,0
NEVIO,155,3,17,46,11,0,59,19
Amginir,142,12,19,58,2,0,49,2
Snowberry,142,101,29,11,0,0,1,0
Diovani,131,107,24,0,0,0,0,0
Fosida,113,14,56,9,0,0,34,0
Brandemet,95,8,14,12,9,1,9,42
Karodor,79,0,5,6,0,36,1,31
Mr BaCk,66,3,18,13,11,4,12,5
Fabrinir,65,4,4,11,1,0,45,0
Feli,65,0,1,27,6,0,31,0
Mabrinad,56,0,12,33,4,0,7,0
Gradog,52,0,0,1,35,16,0,0
Morg,47,0,0,9,2,18,18,0
Granidred,43,13,23,6,1,0,0,0
Sir James III Son of Hadur,39,2,32,3,2,0,0,0
Menelaos,38,8,13,17,0,0,0,0
Braveheart,37,0,19,15,2,0,1,0
Germanicus,36,0,0,1,31,0,0,4
Defur,35,32,3,0,0,0,0,0
Rainblade,35,9,26,0,0,0,0,0
Thoth,33,0,30,3,0,0,0,0
Legolas,32,0,9,15,0,0,8,0
Uhtred,30,0,0,9,0,0,20,1
Lady G,27,13,13,1,0,0,0,0
Grozilkree,25,7,4,10,0,0,4,0
Rudolf,25,1,4,3,0,0,5,12
Racibor,23,0,12,3,3,0,5,0
Vlad the Impaler,23,5,8,5,3,0,2,0
Diabolik,21,9,6,6,0,0,0,0
Foxhunter,18,1,3,4,4,3,1,2
Sir RES,17,5,8,3,0,0,1,0
doc48,17,7,3,6,0,0,0,1
Thorn,14,0,3,3,2,0,1,5
Xan,14,1,9,2,0,0,2,0
Golgotha,13,2,1,8,1,0,1,0
Grikelv,13,0,8,4,0,0,1,0
Jaakarhu,13,0,5,8,0,0,0,0
Lirinir,13,0,0,0,12,0,0,1
Magda Ewa,12,0,0,2,0,0,10,0
Funfiren,11,4,7,0,0,0,0,0
Immortal,11,0,1,1,3,0,0,6
Bamsi,10,4,6,0,0,0,0,0
Foolish Mortal,10,1,3,6,0,0,0,0
Silverblade,10,3,3,3,0,0,1,0
TOKUGAWA NOBUNAGA,10,5,5,0,0,0,0,0
Alberikh,9,0,0,0,9,0,0,0
Mausida,9,3,6,0,0,0,0,0
MILI,7,4,3,0,0,0,0,0
Maedrosin,6,0,3,3,0,0,0,0
Mighty Forger,6,0,0,6,0,0,0,0
Monaoka,6,1,5,0,0,0,0,0
MADMAN,5,0,0,5,0,0,0,0
MONTES,5,3,2,0,0,0,0,0
Rudepravo Italiano,5,3,2,0,0,0,0,0
Kirimand,4,3,1,0,0,0,0,0
Maximus Decimus,4,0,4,0,0,0,0,0
Akinomuro,3,0,3,0,0,0,0,0
Braveheart JNR,3,3,0,0,0,0,0,0
Lorfanor,3,1,0,2,0,0,0,0
Nilaath,3,0,2,1,0,0,0,0
Vatharia,3,0,2,1,0,0,0,0
Bjorn,2,2,0,0,0,0,0,0
DarkAngel,1,1,0,0,0,0,0,0
Smok,1,1,0,0,0,0,0,0
Turbrimir,1,1,0,0,0,0,0,0
3CPo,0,0,0,0,0,0,0,0
Accelerator,0,0,0,0,0,0,0,0
Aegrosad,0,0,0,0,0,0,0,0
AlexLeroc,0,0,0,0,0,0,0,0
Alexander Greek,0,0,0,0,0,0,0,0
Archie,0,0,0,0,0,0,0,0
Arni,0,0,0,0,0,0,0,0
Bad FutherMucker,0,0,0,0,0,0,0,0
Black Mamba,0,0,0,0,0,0,0,0
Brann Bronzebeard,0,0,0,0,0,0,0,0
Brightskin,0,0,0,0,0,0,0,0
Bubino71,0,0,0,0,0,0,0,0
Bunnyman,0,0,0,0,0,0,0,0
Cain,0,0,0,0,0,0,0,0
Catty,0,0,0,0,0,0,0,0
Cenaya,0,0,0,0,0,0,0,0
Cerim,0,0,0,0,0,0,0,0
Cesarz Saleka,0,0,0,0,0,0,0,0
Cesarzowa Cwieka,0,0,0,0,0,0,0,0
Conjudred,0,0,0,0,0,0,0,0
Cosmic Dancer,0,0,0,0,0,0,0,0
Cyril Figgis,0,0,0,0,0,0,0,0
D23,0,0,0,0,0,0,0,0
DAJMITU,0,0,0,0,0,0,0,0
DON IRON MIKE TYSON,0,0,0,0,0,0,0,0
Dabb,0,0,0,0,0,0,0,0
Dacage,0,0,0,0,0,0,0,0
Dafur,0,0,0,0,0,0,0,0
Darvenen,0,0,0,0,0,0,0,0
Deep Inside,0,0,0,0,0,0,0,0
Digore,0,0,0,0,0,0,0,0
Doctor Krieger,0,0,0,0,0,0,0,0
Dr Bruce BANNER,0,0,0,0,0,0,0,0
Dragon Armor,0,0,0,0,0,0,0,0
Drugo,0,0,0,0,0,0,0,0
Dugul,0,0,0,0,0,0,0,0
EL CHAPO GUZMAN,0,0,0,0,0,0,0,0
Eydaen,0,0,0,0,0,0,0,0
Eyfedef,0,0,0,0,0,0,0,0
FERDAUS,0,0,0,0,0,0,0,0
Fagon,0,0,0,0,0,0,0,0
Fearlessbeard,0,0,0,0,0,0,0,0
Felharne,0,0,0,0,0,0,0,0
Finan,0,0,0,0,0,0,0,0
Finvenen,0,0,0,0,0,0,0,0
Fire Armor,0,0,0,0,0,0,0,0
Fisk,0,0,0,0,0,0,0,0
Genghis Khan,0,0,0,0,0,0,0,0
Gros jnr,0,0,0,0,0,0,0,0
Grosvenor,0,0,0,0,0,0,0,0
Haiiro,0,0,0,0,0,0,0,0
Heimdall,0,0,0,0,0,0,0,0
Hermit,0,0,0,0,0,0,0,0
Hulk,0,0,0,0,0,0,0,0
Immortal I,0,0,0,0,0,0,0,0
Jeepster,0,0,0,0,0,0,0,0
Jill,0,0,0,0,0,0,0,0
KARMA,0,0,0,0,0,0,0,0
KASS,0,0,0,0,0,0,0,0
Kajko,0,0,0,0,0,0,0,0
Kall,0,0,0,0,0,0,0,0
Karo 3,0,0,0,0,0,0,0,0
Karodor2,0,0,0,0,0,0,0,0
Kerilir,0,0,0,0,0,0,0,0
Kit Carson,0,0,0,0,0,0,0,0
Kokosz,0,0,0,0,0,0,0,0
Kordobrek,0,0,0,0,0,0,0,0
