TIER,PLAYER,COUNT,SCORE,CITS,,,,,
1,Heretical Hermit,733,207720,650,,,,,3852
1,Rhodry,392,90120,333,,,,,13019
1,Mr BaCk,555,20772,191,,,,,
1,Brandemet,362,49187,160,,,,,
1,NEVIO,184,21925,116,,,,,
1,Gradog,174,34266,96,,,,,
1,Mal,612,166882,83,,,,,
1,Karodor,206,34127,76,,,,,
1,Fabrinir,120,17336,61,,,,,
1,Thoth,95,4337,59,,,,,
1,SJ III SoH,187,31627,45,,,,,
1,Morg,90,13117,44,,,,,
1,Marvi,216,12059,43,,,,,
1,Rudolf,116,6381,37,,,,,
1,Mighty Forger,66,15117,33,,,,,
1,Legolas,79,5932,30,,,,,
1,Racibor,77,9264,30,,,,,
1,Mabrinad,83,8380,27,,,,,
1,Nilaath,70,7375,23,,,,,
1,Feli,68,11733,22,,,,,
1,Germanicus,118,21542,21,,,,,
1,Fosida,81,4495,20,,,,,
1,Max Decimus,91,10793,19,,,,,
1,Diabolik,91,3140,18,,,,,
1,Vlad the Impaler,126,7344,14,,,,,
1,Braveheart,108,14350,13,,,,,
1,doc48,98,10202,10,,,,,
1,Lirinir,98,22446,7,,,,,
1,Magda Ewa,51,5930,5,,,,,
1,Amginir,51,9979,2,,,,,
1,Tumitac,41,4934,1,,,,,
1,Logan,30,1643,1,,,,,
1,Immortal,58,3521,0,,,,,
1,Thorn,30,2435,0,,,,,
1,idaco,14,611,0,,,,,
1,Hulk,3,385,0,,,,,
2,Uhtred,278,24405,200,,,,,
2,Snowberry,249,6395,196,,,,,
2,Xan,123,4399,51,,,,,
2,Sir RES,337,11664,48,,,,,
2,Menelaos,155,7091,48,,,,,
2,Foolish Mortal,77,11031,37,,,,,
2,Kosti,164,13474,32,,,,,
2,MADMAN,94,6506,26,,,,,
2,Lady G,106,4530,25,,,,,
2,Alberikh,71,14220,25,,,,,
2,Eydaen,183,3788,23,,,,,
2,MONTES P,52,1209,22,,,,,
2,Rainblade,79,2922,19,,,,,
2,Foxhunter,51,5520,17,,,,,
2,Golgotha,47,3537,16,,,,,
2,Sir Cthulhu I,70,11911,15,,,,,
2,DAJMITU,112,15668,12,,,,,
2,Grozilkree,143,4679,11,,,,,
2,Marcelo,79,1921,10,,,,,
2,Maedrosin,48,6294,6,,,,,
2,Jaakarhu,53,5131,5,,,,,
2,Tha Supreme,37,6992,5,,,,,
2,Well Constantino,51,3465,4,,,,,
2,Bamsi,99,3387,3,,,,,
2,MILI,53,2593,1,,,,,
2,Kerilir,51,4811,1,,,,,
2,Rudepravo Italiano,22,2526,1,,,,,
2,Bjorn,63,4742,0,,,,,
2,DarkAngel,50,3995,0,,,,,
2,Painmoon,33,4523,0,,,,,
2,Tex Willer,3,118,0,,,,,
3,Granidred,463,11907,245,,,,,
3,Diovani,338,4576,222,,,,,
3,Masius,187,7694,54,,,,,
3,LUCKY BEAR,119,2763,47,,,,,
3,Maveriel,110,1200,30,,,,,
3,Funfiren,85,2872,30,,,,,
3,Grikelv,89,4953,19,,,,,
3,T NOBUNAGA,78,1368,14,,,,,
3,Monaoka,88,2880,9,,,,,
3,Lorfanor,90,1569,8,,,,,
3,Kirimand,99,1752,7,,,,,
3,Braveheart JNR,29,429,7,,,,,
3,Portia,15,560,7,,,,,
3,Turbrimir,79,1038,1,,,,,
3,Pearl,65,6686,1,,,,,
3,Felharne,54,860,1,,,,,
3,Rhodorix,42,2656,1,,,,,
3,Darvenen,80,1015,0,,,,,
3,AlexLeroc,55,1178,0,,,,,
3,Modnar,52,137,0,,,,,
3,Karo,51,2717,0,,,,,
3,zipkinci,49,1286,0,,,,,
3,MONA,45,103,0,,,,,
3,Kit Carson,35,1464,0,,,,,
3,Raya,26,1257,0,,,,,
3,Heimdall,19,348,0,,,,,
3,Ladacznica,12,88,0,,,,,
3,Marvina,9,93,0,,,,,
3,Rexfury,5,85,0,,,,,
3,Finvenen,5,5,0,,,,,
3,Lordis,3,12,0,,,,,
3,Samujas,3,3,0,,,,,
3,3CPo,2,8,0,,,,,
3,Lady Hawke,1,200,0,,,,,
,MMM,1930,0,,,,,,
,Accelerator,0,0,,,,,,
,Aegrosad,0,0,,,,,,
,Akinomuro,0,0,,,,,,
,Alexander Greek,0,0,,,,,,
,Archie,0,0,,,,,,
,Arni,0,0,,,,,,
,Bad FutherMucker,0,0,,,,,,
,Black Mamba,0,0,,,,,,
,Brann Bronzebeard,0,0,,,,,,
,Brightskin,0,0,,,,,,
,Bubino71,0,0,,,,,,
,Bunnyman,0,0,,,,,,
,Cain,0,0,,,,,,
,Catty,0,0,,,,,,
,Cenaya,0,0,,,,,,
,Cerim,0,0,,,,,,
,Cesarz Saleka,0,0,,,,,,
,Cesarzowa Cwieka,0,0,,,,,,
,Conjudred,0,0,,,,,,
,Cosmic Dancer,0,0,,,,,,
,Cyril Figgis,0,0,,,,,,
,D23,0,0,,,,,,
,DON IRON MIKE TYSON,0,0,,,,,,
,Dabb,0,0,,,,,,
,Dacage,0,0,,,,,,
,Dafur,0,0,,,,,,
,Deep Inside,0,0,,,,,,
,Defur,0,0,,,,,,
,Digore,0,0,,,,,,
,Doctor Krieger,0,0,,,,,,
,Dr Bruce BANNER,0,0,,,,,,
,Dragon Armor,0,0,,,,,,
,Drugo,0,0,,,,,,
,Dugul,0,0,,,,,,
,EL CHAPO GUZMAN,0,0,,,,,,
,Eyfedef,0,0,,,,,,
,FERDAUS,0,0,,,,,,
,Fagon,0,0,,,,,,
,Fearlessbeard,0,0,,,,,,
,Finan,0,0,,,,,,
,Fire Armor,0,0,,,,,,
,Fisk,0,0,,,,,,
,Genghis Khan,0,0,,,,,,
,Gros jnr,0,0,,,,,,
,Grosvenor,0,0,,,,,,
,Haiiro,0,0,,,,,,
,Hermit,0,0,,,,,,
,Immortal I,0,0,,,,,,
,Jeepster,0,0,,,,,,
,Jill,0,0,,,,,,
,KARMA,0,0,,,,,,
,KASS,0,0,,,,,,
,Kajko,0,0,,,,,,
,Kall,0,0,,,,,,
,Karo 3,0,0,,,,,,
,Karodor2,0,0,,,,,,
,Kokosz,0,0,,,,,,
,Kordobrek,0,0,,,,,,
,Kyperion Du Torbiney,0,0,,,,,,
,LETS GO BRANDON,0,0,,,,,,
,Lanfir,0,0,,,,,,
,Lanmoin,0,0,,,,,,
,Legon,0,0,,,,,,
,Lerinad,0,0,,,,,,
,Lilor,0,0,,,,,,
,Lirafin,0,0,,,,,,
,Luciditee,0,0,,,,,,
,MIYAMOTO MUSASHI,0,0,,,,,,
,MMMm,0,0,,,,,,
,MONTES,0,0,,,,,,
,Maanan,0,0,,,,,,
,Mador,0,0,,,,,,
,Maelstrom,0,0,,,,,,
,Mal the Uncrowned,0,0,,,,,,
,Manandis,0,0,,,,,,
,Marco,0,0,,,,,,
,MarcusTulliusCicero,0,0,,,,,,
,Marvilla,0,0,,,,,,
,Mausida,0,0,,,,,,
,Mazura,0,0,,,,,,
,Meddry,0,0,,,,,,
,Minerva,0,0,,,,,,
,Mingo 2,0,0,,,,,,
,Moginn,0,0,,,,,,
,Mogra,0,0,,,,,,
,Monster Killer,0,0,,,,,,
,Morardin,0,0,,,,,,
,Morn,0,0,,,,,,
,Muradin Bronzebeard,0,0,,,,,,
,NaChos,0,0,,,,,,
,Nevyn,0,0,,,,,,
,Nobody special,0,0,,,,,,
,Norbee1984,0,0,,,,,,
,Nygus,0,0,,,,,,
,Ognisty Smok,0,0,,,,,,
,Ollin,0,0,,,,,,
,Osferth,0,0,,,,,,
,Priligy,0,0,,,,,,
,Pryntyl,0,0,,,,,,
,Puck,0,0,,,,,,
,Quick,0,0,,,,,,
,RED GUARDIAN,0,0,,,,,,
,Rain,0,0,,,,,,
,RatkoM,0,0,,,,,,
,Ray Gillette,0,0,,,,,,
,Rebellion,0,0,,,,,,
,RedDragon,0,0,,,,,,
,Rori,0,0,,,,,,
,Sabar,0,0,,,,,,
,Sailv,0,0,,,,,,
,Sassy Gal,0,0,,,,,,
,Saucy Joy,0,0,,,,,,
,Secret Keeper,0,0,,,,,,
,Sihtric,0,0,,,,,,
,Silverblade,0,0,,,,,,
,Sir Chthulhu I,0,0,,,,,,
,Sire Menion,0,0,,,,,,
,Smok,0,0,,,,,,
,Smokn,0,0,,,,,,
,StarSailor,0,0,,,,,,
,Steapa,0,0,,,,,,
,Sterling Archer,0,0,,,,,,
,The Gladiator,0,0,,,,,,
,Thor,0,0,,,,,,
,Tolnozin,0,0,,,,,,
,Tonto,0,0,,,,,,
,Tricolor Carioca,0,0,,,,,,
,Tygojind,0,0,,,,,,
,Tygoran,0,0,,,,,,
,Tygradi,0,0,,,,,,
,Unicorn X,0,0,,,,,,
,Vatharia,0,0,,,,,,
,Viper I,0,0,,,,,,
,Xavier St Cloud,0,0,,,,,,
,Xena,0,0,,,,,,
,Xenia,0,0,,,,,,
,ZaCk,0,0,,,,,,
,aganaway,0,0,,,,,,
,desperados,0,0,,,,,,
,mestesso,0,0,,,,,,
,nallekarhu,0,0,,,,,,
,nervous,0,0,,,,,,
,semoury,0,0,,,,,,
