TIER,PLAYER,COUNT,SCORE,CITS,,
1,Heretical Hermit,904,276385,651,,15708
1,NEVIO,408,43261,276,,3648
3,Granidred,419,12227,219,,
1,Karodor,458,90430,187,,
1,Brandemet,412,67590,186,,
3,Diovani,391,11110,171,,
2,Snowberry,253,7595,145,,
1,SJ III SoH,257,39845,102,,
2,Alberikh,182,38871,80,,
3,LUCKY BEAR,271,10478,79,,
2,Uhtred,125,14697,75,,
1,Mighty Forger,131,21599,69,,
1,Mr BaCk,209,14952,68,,
1,Mal,486,77183,63,,
1,Fabrinir,144,25444,62,,
1,Rhodry,89,16624,62,,
2,Sir RES,278,5687,56,,
1,Gradog,210,37407,52,,
2,Rainblade,157,7156,51,,
1,Menelaos,198,10850,45,,
3,Berohef,315,6909,45,,
2,Xan,149,5303,43,,
1,Thoth,115,7705,41,,
1,Feli,120,14354,37,,
1,Germanicus,162,30638,36,,
1,Rudolf,136,8414,36,,
1,Marvi,222,11895,35,,
1,Morg,89,10969,35,,
1,Racibor,116,10466,34,,
1,Braveheart,172,29539,33,,
3,Grikelv,210,12490,33,,
3,Masius,148,8932,32,,
2,Kosti,178,14188,30,,
3,Funfiren,100,3046,30,,
2,Sir Cthulhu I,102,12949,29,,
3,Maveriel,165,1947,29,,
1,Mabrinad,63,4994,26,,
2,Grozilkree,205,6366,25,,
1,MONTES P,656,2892,25,,
2,Marcelo,128,3060,23,,
2,Golgotha,65,7794,22,,
1,Nilaath,101,12362,21,,
1,Legolas,79,6910,21,,
2,MADMAN,102,7814,20,,
1,Immortal,85,7408,20,,
1,Diabolik,92,2584,15,,
2,Lady G,121,5648,13,,
1,Hulk,109,39463,12,,
1,Vlad the Impaler,122,7673,12,,
2,Foxhunter,64,6584,12,,
3,Portia,45,3024,12,,
3,Monaoka,88,2767,12,,
2,White Knight,33,1083,11,,
2,Bamsi,102,2925,9,,
2,Eydaen,145,7112,8,,
3,Kirimand,133,3299,8,,
2,Jaakarhu,96,10134,7,,
1,Foolish Mortal,82,9788,7,,
1,Magda Ewa,91,8374,6,,
1,Lirinir,118,21372,5,,
2,MILI,79,3827,5,,
3,Darvenen,103,2685,5,,
3,Defur,10,40,5,,
1,Tumitac,158,44852,4,,
3,Lorfanor,67,1127,4,,
1,doc48,114,9535,3,,
2,Maedrosin,48,7034,3,,
2,Rudepravo Itali,25,1347,3,,
1,Fosida,51,5566,2,,
2,Tex Willer,26,3836,2,,
2,DarkAngel,55,5298,1,,
1,Amginir,32,5086,1,,
2,AlexLeroc,54,1310,1,,
1,Thorn,193,60225,0,,
2,Tha Supreme,74,22077,0,,
2,Bjorn,69,6702,0,,
2,Painmoon,39,6060,0,,
2,Well Constantino,75,5400,0,,
2,DAJMITU,45,4177,0,,
3,Rexfury,108,3587,0,,
2,Kerilir,41,3492,0,,
3,Karo,51,2623,0,,
3,zipkinci,83,2609,0,,
3,Raya,41,1903,0,,
3,Ladacznica,52,1553,0,,
3,Felharne,72,990,0,,
3,Vugul,14,967,0,,
1,idaco,19,914,0,,
3,Marvina,105,860,0,,
3,Graveleye,47,562,0,,
3,Heimdall,25,257,0,,
3,Modnar,39,180,0,,
3,Quick,28,151,0,,
1,Logan,2,100,0,,
3,Lordis,2,21,0,,
3,3CPo,3,12,0,,
3,Finvenen,3,3,0,,
3,Samujas,3,3,0,,
,MMM,2247,0,,,
,Accelerator,0,0,,,
,Aegrosad,0,0,,,
,Akinomuro,0,0,,,
,Alexander Greek,0,0,,,
,Archie,0,0,,,
,Arni,0,0,,,
,Bad FutherMucker,0,0,,,
,Black Mamba,0,0,,,
,Brann Bronzebeard,0,0,,,
,Braveheart JNR,0,0,,,
,Brightskin,0,0,,,
,Bubino71,0,0,,,
,Bunnyman,0,0,,,
,Cain,0,0,,,
,Catty,0,0,,,
,Cenaya,0,0,,,
,Cerim,0,0,,,
,Cesarz Saleka,0,0,,,
,Cesarzowa Cwieka,0,0,,,
,Conjudred,0,0,,,
,Cosmic Dancer,0,0,,,
,Cyril Figgis,0,0,,,
,D23,0,0,,,
,DON IRON MIKE TYSON,0,0,,,
,Dabb,0,0,,,
,Dacage,0,0,,,
,Dafur,0,0,,,
,Deep Inside,0,0,,,
,Digore,0,0,,,
,Doctor Krieger,0,0,,,
,Dr Bruce BANNER,0,0,,,
,Dragon Armor,0,0,,,
,Drugo,0,0,,,
,Dugul,0,0,,,
,EL CHAPO GUZMAN,0,0,,,
,Eyfedef,0,0,,,
,FERDAUS,0,0,,,
,Fagon,0,0,,,
,Fearlessbeard,0,0,,,
,Finan,0,0,,,
,Fire Armor,0,0,,,
,Fisk,0,0,,,
,Genghis Khan,0,0,,,
,Gros jnr,0,0,,,
,Grosvenor,0,0,,,
,Haiiro,0,0,,,
,Hermit,0,0,,,
,Immortal I,0,0,,,
,Jeepster,0,0,,,
,Jill,0,0,,,
,KARMA,0,0,,,
,KASS,0,0,,,
,Kajko,0,0,,,
,Kall,0,0,,,
,Karo 3,0,0,,,
,Karodor2,0,0,,,
,Kit Carson,0,0,,,
,Kokosz,0,0,,,
,Kordobrek,0,0,,,
,Kyperion Du Torbiney,0,0,,,
,LETS GO BRANDON,0,0,,,
,Lady Hawke,0,0,,,
,Lanfir,0,0,,,
,Lanmoin,0,0,,,
,Legon,0,0,,,
,Lerinad,0,0,,,
,Lilor,0,0,,,
,Lirafin,0,0,,,
,Luciditee,0,0,,,
,MIYAMOTO MUSASHI,0,0,,,
,MMMm,0,0,,,
