3,3CPo,,3,0,12,,
,Accelerator,,0,,0,,20048
,Aegrosad,,0,,0,,4802
,aganaway,,0,,0,,
3,Akinomuro,,11,0,262,,
2,Alberikh,,438,321,75519,,
,Alexander Greek,,0,,0,,
2,AlexLeroc,,57,2,2945,,
1,Amginir,,172,98,15848,,
3,Archie,,54,0,4608,,
,Arni,,0,,0,,
,Bad FutherMucker,,0,,0,,
2,Bamsi,,156,11,5172,,
3,Berohef,,496,28,15633,,
2,Bjorn,,74,0,16710,,
,Black Mamba,,0,,0,,
1,Brandemet,,392,151,67961,,
,Brann Bronzebeard,,0,,0,,
1,Braveheart,,127,16,23050,,
,Braveheart JNR,,0,,0,,
,Brightskin,,0,,0,,
,Bubino71,,0,,0,,
,Bunnyman,,0,,0,,
,Cain,,0,,0,,
,Catty,,0,,0,,
,Cenaya,,0,,0,,
,Cerim,,0,,0,,
,Cesarz Saleka,,0,,0,,
,Cesarzowa Cwieka,,0,,0,,
,Conjudred,,0,,0,,
,Cosmic Dancer,,0,,0,,
,Cyril Figgis,,0,,0,,
,D23,,0,,0,,
,Dabb,,0,,0,,
,Dacage,,0,,0,,
,Dafur,,0,,0,,
2,DAJMITU,,89,0,14011,,
2,DarkAngel,,67,0,5749,,
3,Darvenen,,85,1,3082,,
,Deep Inside,,0,,0,,
3,Defur,,105,37,2136,,
,desperados,,0,,0,,
1,Diabolik,,490,146,17968,,
,Digore,,0,,0,,
2,Diovani,,565,134,16821,,
1,doc48,,172,19,14405,,
,Doctor Krieger,,0,,0,,
,DON IRON MIKE TYSON,,0,,0,,
,Dr Bruce BANNER,,0,,0,,
,Dragon Armor,,0,,0,,
,Drugo,,0,,0,,
,Dugul,,0,,0,,
,EL CHAPO GUZMAN,,0,,0,,
2,Eydaen,,186,12,19547,,
,Eyfedef,,0,,0,,
1,Fabrinir,,149,40,26960,,
,Fagon,,0,,0,,
3,Fanlotilas,,83,0,3109,,
,Fearlessbeard,,0,,0,,
3,Felharne,,49,0,1308,,
1,Feli,,127,31,22600,,
,FERDAUS,,0,,0,,
,Finan,,0,,0,,
3,Finvenen,,4,0,5,,
,Fire Armor,,0,,0,,
,Fisk,,0,,0,,
2,Foolish Mortal,,178,28,18089,,
1,Fosida,,102,14,8831,,
2,Foxhunter,,83,22,9652,,
3,Funfiren,,240,20,15577,,
,Genghis Khan,,0,,0,,
1,Germanicus,,232,27,43670,,
2,Golgotha,,105,10,16625,,
1,Gradog,,229,35,39326,,
3,Granidred,,1067,711,32945,,
3,Graveleye,,95,0,3492,,
2,Grikelv,,282,34,15888,,
,Gros jnr,,0,,0,,
,Grosvenor,,0,,0,,
2,Grozilkree,,156,12,6723,,
,Haiiro,,0,,0,,
,Heimdall,,0,,0,,
3,here,,20,0,402,,
1,Heretical Hermit,,1016,650,312735,,
,Hermit,,0,,0,,
1,Hulk,,123,35,29337,,
1,idaco,,8,1,555,,
1,Immortal,,72,14,6785,,
,Immortal I,,0,,0,,
2,Jaakarhu,,113,9,11897,,
,Jeepster,,0,,0,,
,Jill,,0,,0,,
,Kajko,,0,,0,,
,Kall,,0,,0,,
,KARMA,,0,,0,,
3,Karo,,71,0,4910,,
,Karo 3,,0,,0,,
1,Karodor,,467,175,81017,,
,Karodor2,,0,,0,,
,KASS,,0,,0,,
2,Kerilir,,48,0,4102,,
3,Kirimand,,177,1,5165,,
,Kit Carson,,0,,0,,
,Kokosz,,0,,0,,
,Kordobrek,,0,,0,,
2,Kosti,,259,35,21781,,
,Kyperion Du Torbiney,,0,,0,,
3,Ladacznica,,48,0,1839,,
2,Lady G,,195,18,11038,,
,Lady Hawke,,0,,0,,
,Lanfir,,0,,0,,
,Lanmoin,,0,,0,,
1,Legolas,,147,46,12845,,
,Legon,,0,,0,,
,Lerinad,,0,,0,,
,LETS GO BRANDON,,0,,0,,
,Lilor,,0,,0,,
,Lirafin,,0,,0,,
1,Lirinir,,133,21,31291,,
1,Logan,,77,11,3937,,
,Lordis,,0,,0,,
3,Lorfanor,,48,1,1541,,
,Luciditee,,0,,0,,
3,LUCKY BEAR,,313,102,14926,,
,Maanan,,0,,0,,
1,Mabrinad,,125,25,15429,,
2,MADMAN,,138,25,11236,,
,Mador,,0,,0,,
2,Maedrosin,,64,1,10206,,
,Maelstrom,,0,,0,,
2,Magda Ewa,,130,10,12864,,
1,Mal,,246,29,52914,,
,Mal the Uncrowned,,0,,0,,
,Manandis,,0,,0,,
2,Marcelo,,313,124,11768,,
,Marco,,0,,0,,
3,MarcusTulliusCicero,,60,0,3417,,
1,Marvi,,244,39,11372,,
,Marvilla,,0,,0,,
3,Marvina,,124,1,1550,,
3,Masius,,93,9,7821,,
,Mausida,,0,,0,,
3,Maveriel,,68,4,3139,,
,Maximus Decimus,,0,,0,,
,Mazura,,0,,0,,
,Meddry,,0,,0,,
2,Menelaos,,246,64,15261,,
,mestesso,,0,,0,,
1,Mighty Forger,,158,49,38308,,
2,MILI,,425,36,14957,,
,Minerva,,0,,0,,
,Mingo 2,,0,,0,,
,MIYAMOTO MUSASHI,,0,,0,,
,MMM,,2457,,0,,
,MMMm,,0,,0,,
3,Modnar,,22,0,1750,,
,Moginn,,0,,0,,
,Mogra,,0,,0,,
,MONA,,0,,0,,
3,Monaoka,,268,32,13572,,
,Monster Killer,,0,,0,,
,MONTES,,0,,0,,
2,MONTES P,,47,19,1198,,
,Morardin,,0,,0,,
1,Morg,,90,17,14034,,
,Morn,,0,,0,,
1,Mr BaCk,,195,54,18253,,
,Muradin Bronzebeard,,0,,0,,
,NaChos,,0,,0,,
,nallekarhu,,0,,0,,
,nervous,,0,,0,,
1,NEVIO,,353,190,47843,,
,Nevyn,,0,,0,,
1,Nilaath,,113,23,15520,,
,Nobody special,,0,,0,,
,Norbee1984,,0,,0,,
,Nygus,,0,,0,,
,Ognisty Smok,,0,,0,,
,Ollin,,0,,0,,
,Osferth,,0,,0,,
2,Painmoon,,49,0,5536,,
,Pearl,,0,,0,,
TIER,PLAYER,,COUNT,CITS,SCORE,,
3,Portia,,92,12,6447,,
,Priligy,,0,,0,,
,Pryntyl,,0,,0,,
,Puck,,0,,0,,
3,Quick,,22,0,88,,
1,Racibor,,106,13,14360,,
,Rain,,0,,0,,
2,Rainblade,,154,24,6831,,
,RatkoM,,0,,0,,
,Ray Gillette,,0,,0,,
3,Raya,,34,0,1588,,
,Rebellion,,0,,0,,
,RED GUARDIAN,,0,,0,,
,RedDragon,,0,,0,,
3,Rexfury,,199,0,9754,,
,Rhodorix,,0,,0,,
1,Rhodry,,202,106,45403,,
,Rori,,0,,0,,
2,Rudepravo Itali,,54,3,3298,,
1,Rudolf,,119,42,9583,,
,Sabar,,0,,0,,
,Sailv,,0,,0,,
3,Samujas,,4,0,53,,
,Sassy Gal,,0,,0,,
,Saucy Joy,,0,,0,,
,Secret Keeper,,0,,0,,
,semoury,,0,,0,,
,Sihtric,,0,,0,,
,Silverblade,,0,,0,,
,Sir Chthulhu I,,0,,0,,
2,Sir Cthulhu I,,63,2,12881,,
2,Sir Doc,,31,7,631,,
2,Sir RES,,379,43,14521,,
,Sire Menion,,0,,0,,
1,SJ III SoH,,212,46,33216,,
,Smok,,0,,0,,
,Smokn,,0,,0,,
2,Snowberry,,322,182,14382,,
,StarSailor,,0,,0,,
,Steapa,,0,,0,,
,Sterling Archer,,0,,0,,
2,Tex Willer,,71,0,7689,,
2,Tha Supreme,,84,0,17150,,
,The Gladiator,,0,,0,,
,Thor,,0,,0,,
1,Thorn,,107,0,9505,,
1,Thoth,,171,33,13952,,
,TOKUGAWA NOBUNAGA,,0,,0,,
,Tolnozin,,0,,0,,
,Tonto,,0,,0,,
,Tricolor Carioca,,0,,0,,
