TIER,PLAYER,COUNT,CITS,SCORE,,
3,3CPo,3,0,12,,17388
,Accelerator,0,,0,,5789
,Aegrosad,0,,0,,
,aganaway,0,,0,,
3,Akinomuro,63,3,4915,,
2,Alberikh,742,665,94861,,
,Alexander Greek,0,,0,,
2,AlexLeroc,75,5,3096,,
1,Amginir,212,150,24655,,
3,Archie,18,0,861,,
,Arni,0,,0,,
,Bad FutherMucker,0,,0,,
2,Bamsi,143,3,6122,,
3,Berohef,257,22,8369,,
2,Bjorn,131,0,17615,,
,Black Mamba,0,,0,,
1,Brandemet,401,173,61386,,
,Brann Bronzebeard,0,,0,,
1,Braveheart,121,39,33187,,
,Braveheart JNR,0,,0,,
,Brightskin,0,,0,,
,Bubino71,0,,0,,
,Bunnyman,0,,0,,
,Cain,0,,0,,
,Catty,0,,0,,
,Cenaya,0,,0,,
,Cerim,0,,0,,
,Cesarz Saleka,0,,0,,
,Cesarzowa Cwieka,0,,0,,
,Conjudred,0,,0,,
,Cosmic Dancer,0,,0,,
,Cyril Figgis,0,,0,,
,D23,0,,0,,
,Dabb,0,,0,,
,Dacage,0,,0,,
,Dafur,0,,0,,
2,DAJMITU,50,25,7790,,
2,DarkAngel,54,0,4597,,
3,Darvenen,89,0,1209,,
,Deep Inside,0,,0,,
3,Defur,151,46,1727,,
,desperados,0,,0,,
1,Diabolik,155,2,8518,,
,Digore,0,,0,,
2,Diovani,478,212,13828,,
1,doc48,144,6,20057,,
,Doctor Krieger,0,,0,,
,DON IRON MIKE TYSON,0,,0,,
,Dr Bruce BANNER,0,,0,,
,Dragon Armor,0,,0,,
,Drugo,0,,0,,
,Dugul,0,,0,,
,EL CHAPO GUZMAN,0,,0,,
3,EVA,13,0,31,,
2,Eydaen,103,6,3691,,
,Eyfedef,0,,0,,
1,Fabrinir,137,78,32232,,
,Fagon,0,,0,,
3,Fanlotilas,68,0,5330,,
,Fearlessbeard,0,,0,,
,Felharne,0,,0,,
1,Feli,90,29,17869,,
,FERDAUS,0,,0,,
,Finan,0,,0,,
3,Finvenen,4,0,4,,
,Fire Armor,0,,0,,
,Fisk,0,,0,,
1,Foolish Mortal,30,9,3577,,
1,Fosida,68,45,4986,,
2,Foxhunter,234,16,24488,,
3,Funfiren,89,30,2494,,
,Genghis Khan,0,,0,,
1,Germanicus,193,60,48218,,
2,Golgotha,82,3,18512,,
1,Gradog,163,83,33854,,
3,Granidred,669,393,24672,,
3,Graveleye,35,0,722,,
2,Grikelv,96,26,8919,,
,Gros jnr,0,,0,,
,Grosvenor,0,,0,,
2,Grozilkree,159,13,6126,,
,Haiiro,0,,0,,
,Heimdall,0,,0,,
3,here,44,0,995,,
1,Heretical Hermit,624,500,227295,,
,Hermit,0,,0,,
1,Hulk,174,30,45056,,
1,idaco,6,0,384,,
1,Immortal,65,17,9260,,
,Immortal I,0,,0,,
2,Jaakarhu,116,19,11702,,
,Jeepster,0,,0,,
,Jill,0,,0,,
,Kajko,0,,0,,
,Kall,0,,0,,
,KARMA,0,,0,,
,Karo,0,,0,,
,Karo 3,0,,0,,
1,Karodor,685,434,131358,,
,Karodor2,0,,0,,
,KASS,0,,0,,
2,Kerilir,78,0,8438,,
3,Kirimand,142,3,2851,,
,Kit Carson,0,,0,,
,Kokosz,0,,0,,
,Kordobrek,0,,0,,
2,Kosti,205,25,16640,,
,Kyperion Du Torbiney,0,,0,,
3,Ladacznica,35,4,1500,,
2,Lady G,148,27,11008,,
,Lady Hawke,0,,0,,
,Lanfir,0,,0,,
,Lanmoin,0,,0,,
1,Legolas,191,38,28789,,
,Legon,0,,0,,
,Lerinad,0,,0,,
,LETS GO BRANDON,0,,0,,
,Lilor,0,,0,,
,Lirafin,0,,0,,
1,Lirinir,126,33,40679,,
1,Logan,68,8,2415,,
,Lordis,0,,0,,
3,Lorfanor,34,2,275,,
,Luciditee,0,,0,,
2,LUCKY BEAR,337,107,10865,,
,Maanan,0,,0,,
1,Mabrinad,74,21,10474,,
2,MADMAN,15,5,1206,,
,Mador,0,,0,,
2,Maedrosin,42,0,6150,,
,Maelstrom,0,,0,,
2,Magda Ewa,132,0,13552,,
1,Mal,744,161,151070,,
,Mal the Uncrowned,0,,0,,
,Manandis,0,,0,,
2,Marcelo,192,76,10804,,
,Marco,0,,0,,
3,MarcusTulliusCicero,111,3,11144,,
1,Marvi,763,234,95902,,
3,Marvilla,13,0,153,,
3,Marvina,105,0,1339,,
,Masius,0,,0,,
,Mausida,0,,0,,
3,Maveriel,206,24,2858,,
,Maximus Decimus,0,,0,,
,Mazura,0,,0,,
,Meddry,0,,0,,
1,Menelaos,228,64,18883,,
,mestesso,0,,0,,
1,Mighty Forger,101,40,16406,,
2,MILI,166,5,4485,,
,Minerva,0,,0,,
,Mingo 2,0,,0,,
,MIYAMOTO MUSASHI,0,,0,,
,MMM,1746,,0,,
,MMMm,0,,0,,
,Modnar,0,,0,,
,Moginn,0,,0,,
,Mogra,0,,0,,
,MONA,0,,0,,
3,Monaoka,47,16,4470,,
,Monster Killer,0,,0,,
,MONTES,0,,0,,
2,MONTES P,21,10,76,,
,Morardin,0,,0,,
1,Morg,100,49,19948,,
,Morn,0,,0,,
1,Mr BaCk,231,95,21311,,
,Muradin Bronzebeard,0,,0,,
,NaChos,0,,0,,
,nallekarhu,0,,0,,
,nervous,0,,0,,
1,NEVIO,394,276,54635,,
3,Nevio500,5,1,46,,
,Nevyn,0,,0,,
1,Nilaath,82,21,11017,,
,Nobody special,0,,0,,
,Norbee1984,0,,0,,
,Nygus,0,,0,,
,Ognisty Smok,0,,0,,
,Ollin,0,,0,,
,Osferth,0,,0,,
2,Painmoon,55,0,4728,,
,Pearl,0,,0,,
3,Portia,77,25,5061,,
,Priligy,0,,0,,
,Pryntyl,0,,0,,
,Puck,0,,0,,
3,Quick,8,0,45,,
1,Racibor,117,39,14841,,
,Rain,0,,0,,
2,Rainblade,212,42,7928,,
,RatkoM,0,,0,,
,Ray Gillette,0,,0,,
,Raya,0,,0,,
,Rebellion,0,,0,,
,RED GUARDIAN,0,,0,,
,RedDragon,0,,0,,
,Rexfury,0,,0,,
,Rhodorix,0,,0,,
1,Rhodry,530,446,146375,,
,Rori,0,,0,,
2,Rudepravo Italiano,38,0,2631,,
1,Rudolf,137,39,15405,,
,Sabar,0,,0,,
,Sailv,0,,0,,
,Samujas,0,,0,,
,Sassy Gal,0,,0,,
,Saucy Joy,0,,0,,
,Secret Keeper,0,,0,,
,semoury,0,,0,,
,Sihtric,0,,0,,
,Silverblade,0,,0,,
,Sir Chthulhu I,0,,0,,
2,Sir Cthulhu I,71,9,18735,,
2,Sir Doc,52,1,2548,,
