PLAYER,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25,TOTAL
Tumitac,0,0,0,117,2,0,213,332
NEVIO,0,22,1,0,0,166,45,234
LUCKY BEAR,0,186,18,0,0,24,0,228
Heretical Hermit,0,0,0,0,200,0,0,200
Fabrinir,0,0,1,67,0,1,117,186
Marvi,0,0,0,0,0,18,164,182
Rhodry,1,3,0,0,39,0,136,179
Gradog,0,0,27,147,2,0,0,176
Granidred,23,76,36,0,0,17,0,152
Alberikh,0,0,4,0,0,147,0,151
Mr BaCk,1,58,51,0,0,31,0,141
Diovani,54,6,2,0,0,61,1,124
Snowberry,77,14,7,0,0,12,0,110
Mal,0,12,22,0,69,0,0,103
Brandemet,2,7,5,6,37,4,36,97
Maveriel,67,29,0,0,0,0,0,96
Sir James III Son of Hadur,0,42,13,17,15,0,0,87
Thoth,0,0,78,0,0,0,0,78
Legolas,0,0,2,9,0,0,55,66
Rudolf,0,8,20,0,1,11,13,53
Diabolik,17,15,18,0,0,0,0,50
Germanicus,0,0,0,37,2,0,10,49
Menelaos,2,16,24,0,0,5,1,48
Berohef,1,45,0,0,0,0,0,46
Racibor,0,13,16,6,0,8,0,43
Xan,0,13,17,0,0,12,0,42
Morg,0,0,13,24,4,0,0,41
Hulk,0,0,0,0,40,0,0,40
Kosti,0,0,35,0,0,4,0,39
Feli,0,0,15,0,4,19,0,38
Sir RES,11,18,3,1,0,4,0,37
Mabrinad,0,12,14,0,0,10,0,36
MILI,18,3,4,0,0,5,0,30
Braveheart,0,0,4,25,0,0,0,29
Defur,27,2,0,0,0,0,0,29
Portia,8,19,1,0,0,0,0,28
Nilaath,12,14,0,0,0,0,0,26
Thorn,0,1,3,7,0,2,13,26
Funfiren,11,14,0,0,0,0,0,25
Marcelo,4,11,10,0,0,0,0,25
Mighty Forger,0,0,25,0,0,0,0,25
Grikelv,0,11,5,1,0,5,0,22
Lady G,9,12,1,0,0,0,0,22
MONTES P,19,0,0,0,0,0,0,19
Rainblade,6,7,1,1,4,0,0,19
Magda Ewa,0,2,16,0,0,0,0,18
Monaoka,0,0,18,0,0,0,0,18
Vlad the Impaler,3,7,6,0,0,2,0,18
Logan,4,3,3,0,0,2,1,13
doc48,5,4,2,1,1,0,0,13
Akinomuro,0,12,0,0,0,0,0,12
Immortal,0,1,1,5,0,0,5,12
MADMAN,0,8,4,0,0,0,0,12
AlexLeroc,0,5,6,0,0,0,0,11
Foxhunter,0,0,0,2,0,2,7,11
Grozilkree,3,5,3,0,0,0,0,11
Fosida,4,1,0,0,0,5,0,10
Uhtred,0,0,8,0,0,2,0,10
Amginir,2,2,1,0,0,3,0,8
