TIER,PLAYER,COUNT,CITS,SCORE,OUT,,
3,Akinomuro,84,12,5641,,,
2,Alberikh,196,151,21718,x,,
2,AlexLeroc,63,11,4742,,,14409
1,Amginir,74,8,10909,x,,4035
3,Archie,37,0,7405,,,
2,Bamsi,131,4,9034,,,
3,Berohef,226,46,6742,x,,
2,Bjorn,49,0,5287,,,
1,Brandemet,290,97,46505,x,,
1,Braveheart,125,29,23734,,,
2,DAJMITU,37,4,3304,,,
2,DarkAngel,60,0,6199,,,
3,Darvenen,101,1,1267,,,
3,Defur,233,29,1709,,,
1,Diabolik,149,50,12658,,,
2,Diovani,421,124,12003,x,,
1,doc48,163,13,14916,,,
3,EVA,44,1,102,,,
2,Eydaen,132,0,6664,,,
1,Fabrinir,249,186,63030,x,,
1,Feli,100,38,16356,,,
3,Finvenen,4,0,4,,,
1,Foolish Mortal,4,0,1575,,,
1,Fosida,38,10,4189,,,
2,Foxhunter,109,11,14145,x,,
3,Funfiren,71,25,2084,x,,
1,Germanicus,233,49,51398,,,
2,Golgotha,76,2,12034,,,
1,Gradog,312,176,79247,x,,
3,Granidred,347,152,14560,x,,
2,Grikelv,78,22,4071,,,
2,Grozilkree,105,11,3355,,,
3,here,93,0,8917,,,
1,Heretical Hermit,370,200,125020,x,,
1,Hulk,255,40,71453,,,
1,idaco,32,0,1709,,,
1,Immortal,96,12,9355,,,
2,Jaakarhu,125,7,15587,,,
,Kerilir,43,0,3429,,,
3,Kirimand,92,2,2097,,,
1,Kosti,180,39,14624,,,
2,Lady G,179,22,16504,x,,
1,Legolas,132,66,33423,,,
1,Lirinir,26,0,4159,,,
1,Logan,100,13,10002,,,
3,Lorfanor,37,1,374,,,
2,LUCKY BEAR,453,228,18264,x,,
1,Mabrinad,78,36,9500,,,
2,MADMAN,77,12,5711,,,
2,Maedrosin,56,2,8151,,,
1,Magda Ewa,90,18,8000,,,
3,Majkel,10,0,199,,,
1,Mal,863,103,137614,x,,
2,Marcelo,116,25,5458,x,,
3,MarcusTulliusCicero,26,0,1444,x,,
1,Marvi,584,182,61895,x,,
3,Marvilla,98,0,1227,,,
3,Maveriel,245,96,5097,,,
1,Menelaos,170,48,12166,,,
1,Mighty Forger,89,25,15549,,,
2,MILI,185,30,9621,,,
2,Monaoka,142,18,12639,,,
2,MONTES P,39,19,240,,,
1,Morg,113,41,33864,,,
1,Mr BaCk,259,141,18894,,,
1,NEVIO,337,234,49651,x,,
3,Nevio500,32,6,854,x,,
1,Nilaath,120,26,11351,,,
2,Painmoon,62,0,5381,,,
3,Portia,96,28,5572,,,
1,Racibor,124,43,13968,,,
2,Rainblade,138,19,8168,,,
1,Rhodry,246,179,69621,x,,
2,Rudepravo Italiano,38,0,3506,,,
1,Rudolf,147,53,12847,,,
2,Sir Cthulhu I,13,3,2665,,,
2,Sir Doc,27,0,1394,,,
1,Sir James III Son of Hadur,205,87,33689,x,,
2,Sir RES,257,37,7975,x,,
2,Snowberry,219,110,14819,x,,
3,Teyuoan,142,1,6178,,,
2,Tha Supreme,44,4,7366,,,
1,Thorn,53,26,8399,,,
