TIER,PLAYER,COUNT,CITS,SCORE,,
3,3CPo,3,0,12,,
3,Akinomuro,71,26,3081,,14738
2,Alberikh,191,141,48963,x,4670
2,AlexLeroc,98,33,4710,,
1,Amginir,73,21,10092,,
3,attacking,6,0,160,,
2,Bamsi,165,23,10010,,
3,Berohef,301,38,6865,x,
2,Bjorn,68,0,10627,,
1,Brandemet,168,45,28434,x,
1,Braveheart,155,52,31765,,
3,Dacage,2,0,168,,
2,DAJMITU,36,1,4714,,
3,DarkAngel,201,54,12153,x,
3,Darvenen,93,0,1578,,
3,Defur,241,25,1616,x,
1,Diabolik,239,118,17577,x,
2,Diovani,385,140,8724,x,
1,doc48,115,3,8919,,
3,EVA,24,0,247,,
2,Eydaen,156,42,8355,,
1,Fabrinir,618,559,154534,x,
1,Feli,90,28,14586,,
3,Finvenen,3,0,3,,
1,Foolish Mortal,142,37,24670,,
1,Fosida,58,17,8034,,
2,Foxhunter,62,9,4972,,
3,Funfiren,83,30,3199,,
1,Germanicus,311,57,80630,x,
1,Golgotha,92,18,15126,,
1,Gradog,102,40,24243,x,
3,Granidred,286,119,13429,x,
2,Grikelv,101,20,4634,,
2,Grozilkree,208,39,10076,,
3,here,54,0,5754,,
1,Heretical Hermit,375,206,123630,x,
2,Hermit 500,50,0,19100,,
1,Hulk,174,45,59649,,
1,idaco,11,1,604,,
1,Immortal,72,0,3455,,
2,Jaakarhu,149,30,20304,,
3,Kirimand,101,1,2211,,
1,Kosti,195,32,20962,,
3,Ladacznica,16,4,1336,,
2,Lady G,124,10,9804,x,
3,Lardrien,8,4,40,,
1,Legolas,139,59,40480,,
1,Lirinir,97,2,29110,,
1,Logan,115,7,9874,,
3,Lorfanor,46,6,1069,,
2,LUCKY BEAR,514,375,17779,x,
1,Mabrinad,134,37,19929,,
2,MADMAN,101,23,11077,,
2,Maedrosin,75,20,9597,,
1,Magda Ewa,96,10,11067,,
3,Majkel,15,0,251,,
1,Mal,221,72,41622,,
2,Marcelo,138,41,8829,,
1,Marvi,943,289,84081,x,
3,Marvilla,138,23,1840,,
3,Masius,7,0,425,,
3,Maveriel,143,61,2468,x,
1,Menelaos,159,49,9977,,
1,Mighty Forger,99,45,17112,,
2,MILI,60,2,3861,,
2,Monaoka,153,40,13258,,
2,MONTES P,46,9,1472,,
1,Morg,122,58,31851,,
1,Mr BaCk,250,112,29033,x,
1,NEVIO,359,282,64984,x,
3,Nevio500,15,0,734,,
1,Nilaath,76,27,9776,,
2,Painmoon,79,0,4308,,
3,Portia,64,17,5553,,
1,Racibor,132,33,21940,,
2,Rainblade,118,5,6488,,
1,Rhodry,277,179,66585,x,
2,Rudepravo Italiano,67,37,5876,,
1,Rudolf,132,43,11400,,
2,SheHulk,5,2,286,,
2,Sir Cthulhu I,119,35,25301,,
2,Sir Doc,26,0,1264,,
1,Sir James III Son of Hadur,228,87,37583,,
2,Sir RES,275,50,8234,x,
3,SJ,34,0,2865,,
3,Sloth,3,0,52,,
2,Snowberry,132,66,10288,x,
3,Teyuoan,62,0,5632,,
2,Tha Supreme,29,0,4871,,
1,Thorn,40,11,5134,,
3,Thorn K500,7,0,308,,
1,Thoth,99,20,9478,,
3,TOKUGAWA NOBUNAGA,46,16,482,,
1,Tumitac,203,150,50220,x,
2,Uhtred,80,30,6270,,
3,Vatharia,174,5,6432,x,
3,Viper,18,2,960,,
1,Vlad the Impaler,150,16,11794,,
2,Vugul,74,24,5393,,
2,Well Constantino,79,26,8032,,
2,White Knight,102,30,12193,,
2,Xan,166,69,8483,x,
2,zipkinci,65,0,3050,,
,MMM,1116,,0,,
,Accelerator,0,,0,,
,Aegrosad,0,,0,,
,aganaway,0,,0,,
,Alexander Greek,0,,0,,
,Archie,0,,0,,
,Arni,0,,0,,
,Bad FutherMucker,0,,0,,
,Black Mamba,0,,0,,
,Brann Bronzebeard,0,,0,,
,Braveheart JNR,0,,0,,
,Brightskin,0,,0,,
,Bubino71,0,,0,,
,Bunnyman,0,,0,,
,Cain,0,,0,,
,Catty,0,,0,,
,Cenaya,0,,0,,
,Cerim,0,,0,,
,Cesarz Saleka,0,,0,,
,Cesarzowa Cwieka,0,,0,,
,Conjudred,0,,0,,
,Cosmic Dancer,0,,0,,
,Cyril Figgis,0,,0,,
,D23,0,,0,,
,Dabb,0,,0,,
,Dafur,0,,0,,
,Deep Inside,0,,0,,
,desperados,0,,0,,
,Digore,0,,0,,
,Doctor Krieger,0,,0,,
,DON IRON MIKE TYSON,0,,0,,
,Dr Bruce BANNER,0,,0,,
,Dragon Armor,0,,0,,
