DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2024-01-12,Sir James III Son of Hadur,Bank,Bronze Chest,20,MMM
2024-01-12,Sir James III Son of Hadur,Bank,Bronze Chest,20,MMM
2024-01-12,Sir James III Son of Hadur,Bank,Bronze Chest,20,MMM
2024-01-12,Sir James III Son of Hadur,Bank,Bronze Chest,20,MMM
2024-01-12,Sir James III Son of Hadur,Bank,Bronze Chest,20,MMM
2024-01-12,Sir James III Son of Hadur,Bank,Bronze Chest,20,MMM
2024-01-12,Morg,Level 20 Crypt,Mayan Chest,84,MMM
2024-01-12,Rudolf,Level 20 Crypt,Stone Chest,84,MMM
2024-01-12,DarkAngel,Level 10 Citadel,Elven Citadel Chest,4,MMM
2024-01-12,NEVIO,Level 20 Citadel,Cursed Citadel Chest,84,MMM
2024-01-12,Portia,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-12,Marcelo,Level 20 Crypt,Cobra Chest,84,MMM
2024-01-12,Germanicus,Authority Rush tournament,Chest of Authority,100,MMM
2024-01-12,Germanicus,Authority Rush tournament,Chest of Authority,100,MMM
2024-01-12,Germanicus,Authority Rush tournament,Chest of Authority,100,MMM
2024-01-12,Germanicus,Authority Rush tournament,Chest of Authority,100,MMM
2024-01-12,NEVIO,Level 20 Citadel,Cursed Citadel Chest,84,MMM
2024-01-12,NEVIO,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-12,Marcelo,Level 20 Crypt,Gnome Workshop Chest,84,MMM
2024-01-12,Amginir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-12,Marcelo,Level 20 Crypt,Stone Chest,84,MMM
2024-01-12,Painmoon,Arena,Gladiator's Chest,2,MMM
2024-01-12,Marcelo,Level 20 Crypt,Cobra Chest,84,MMM
2024-01-12,Diovani,Level 20 Citadel,Cursed Citadel Chest,84,MMM
2024-01-12,Marcelo,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2024-01-12,Amginir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-12,Painmoon,Level 15 Crypt,Bone Chest,17,MMM
2024-01-12,Marcelo,Level 20 Crypt,Sand Chest,84,MMM
2024-01-12,Germanicus,Level 25 Crypt,Fire Chest,275,MMM
2024-01-12,Tumitac,Authority Rush tournament,Chest of Authority,100,MMM
2024-01-12,Marcelo,Level 20 Crypt,Cobra Chest,84,MMM
2024-01-12,Germanicus,Level 25 Crypt,Orc Chest,275,MMM
2024-01-12,Germanicus,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-12,doc48,Level 20 epic Crypt,House of Horrors Chest,168,MMM
2024-01-12,Amginir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-12,Germanicus,Level 25 Crypt,Elegant Chest,275,MMM
2024-01-12,Marcelo,Level 20 epic Crypt,White Wood Chest,168,MMM
2024-01-12,Amginir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-12,Marcelo,Level 20 epic Crypt,Chest of the Cursed,168,MMM
2024-01-12,Painmoon,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-12,Amginir,Level 25 Citadel,Cursed Citadel Chest,275,MMM
2024-01-12,Kirimand,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2024-01-12,Marcelo,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2024-01-12,Painmoon,Arena,Gladiator's Chest,2,MMM
2024-01-12,Rudepravo Italiano,Lvl 35-39 Raid Runic squad,Runic Chest,100,MMM
2024-01-12,Painmoon,Level 15 Crypt,Forgotten Chest,17,MMM
2024-01-12,Rudepravo Italiano,Level 5 Crypt,Mayan Chest,1,MMM
2024-01-12,Nilaath,Level 25 Crypt,Orc Chest,275,MMM
