TIER,PLAYER,COUNT,CITS,SCORE,,,
3,3CPo,13,0,2051,x,,
3,Akinomuro,47,5,3488,x,,
2,Alberikh,78,41,12618,x,,
3,AlexLeroc,101,36,8590,x,,
1,Amginir,58,27,11704,x,,15109
3,attacking,28,0,2032,x,,4966
2,Bamsi,110,0,9210,,,
3,Berohef,215,41,7283,x,,
2,Bjorn,65,1,7327,,,
1,Brandemet,83,19,7249,x,,
1,Braveheart,82,21,16265,x,,
2,DAJMITU,36,1,4536,,,
2,DarkAngel,372,179,6083,x,,
3,Darvenen,97,2,2599,,,
1,Diabolik,278,87,27962,,,
3,Diovani,356,197,18256,,,
1,doc48,126,5,20530,,,
2,Eydaen,147,43,4265,,,
1,Fabrinir,527,438,135579,,,
1,Feli,101,29,21760,,,
2,Foolish Mortal,83,7,14737,,,
2,Fosida,224,123,21189,,,
2,Foxhunter,89,9,8608,,,
3,Funfiren,72,29,2602,,,
1,Germanicus,342,73,96570,,,
2,Golgotha,56,18,3776,,,
1,Gradog,302,93,87343,,,
3,Granidred,275,126,11141,,,
2,Grikelv,67,12,4311,,,
3,Grozilkree,187,30,9341,,,
1,Heretical Hermit,601,567,222850,,,
2,Hermit 500,36,0,3986,,,
1,Hulk,142,54,38470,,,
2,idaco,6,0,119,x,,
1,Immortal,68,3,5930,x,,
2,Jaakarhu,126,33,14517,x,,
3,Kallen,27,3,999,x,,
3,Kirimand,80,1,1890,,,
2,Kosti,152,28,16719,x,,
3,Ladacznica,32,2,2612,,,
2,Lady G,125,15,8405,x,,
3,Lardrien,42,4,363,x,,
1,Legolas,104,27,33084,,,
3,Lerinad,21,0,1208,x,,
1,Lirinir,62,0,9805,,,
1,Logan,27,3,2123,,,
3,Lorfanor,34,0,297,,,
2,LUCKY BEAR,377,271,15530,,,
1,Mabrinad,78,19,11761,,,
3,MADMAN,135,24,15526,,,
2,Maedrosin,93,0,12625,,,
1,Magda Ewa,62,5,5948,,,
1,Mal,322,66,70945,,,
2,Marcelo,250,114,12239,,,
1,Marvi,1103,548,163673,x,,
3,Masius,23,0,1138,,,
3,Maveriel,137,42,2110,,,
1,Menelaos,181,49,14350,,,
1,Mighty Forger,89,42,16483,,,
2,MILI,70,6,4873,,,
3,MONA,26,0,469,,,
3,Monaoka,69,24,5802,,,
2,MONTES P,25,10,386,,,
3,Morardin,3,0,3,,,
1,Morg,108,57,28524,,,
1,Mr BaCk,154,56,20285,x,,
1,NEVIO,362,240,90563,x,,
1,Nilaath,90,31,11821,x,,
3,Ognisty Smok,17,0,2028,x,,
2,Painmoon,78,0,4023,,,
3,Portia,28,9,2239,,,
3,Pryntyl,51,0,771,,,
1,Racibor,109,33,14835,,,
2,Rainblade,163,13,7004,x,,
1,Rhodry,268,194,65411,,,
2,Rudepravo Italiano,85,35,6710,,,
1,Rudolf,107,42,9683,,,
3,SheHulk,62,9,8438,,,
2,Sir Cthulhu I,113,7,23817,,,
3,Sir Doc,44,0,1480,,,
1,Sir James III Son of Hadur,220,81,28297,,,
2,Sir RES,227,40,9683,,,
2,Snowberry,186,95,13682,,,
2,Tha Supreme,31,0,3505,,,
1,Thorn,173,37,51529,,,
1,Thoth,113,33,11389,,,
3,TOKUGAWA NOBUNAGA,112,39,2513,,,
3,Tumi,5,0,528,,,
1,Tumitac,164,114,42593,,,
3,Turbrimir,117,0,906,,,
2,Uhtred,62,30,5592,,,
3,Vatharia,69,0,2371,,,
1,Vlad the Impaler,103,3,7725,,,
3,Vugul,77,21,4195,,,
2,Well Constantino,69,16,7670,,,
2,White Knight,67,16,9030,,,
2,Xan,148,63,8848,,,
3,zipkinci,60,0,2537,,,
,MMM,1922,,0,,,
,Accelerator,0,,0,,,
,Aegrosad,0,,0,,,
,aganaway,0,,0,,,
,Alexander Greek,0,,0,,,
,Archie,0,,0,,,
,Arni,0,,0,,,
,Bad FutherMucker,0,,0,,,
,Black Mamba,0,,0,,,
,Brann Bronzebeard,0,,0,,,
,Braveheart JNR,0,,0,,,
,Brightskin,0,,0,,,
,Bubino71,0,,0,,,
,Bunnyman,0,,0,,,
,Cain,0,,0,,,
,Catty,0,,0,,,
,Cenaya,0,,0,,,
,Cerim,0,,0,,,
,Cesarz Saleka,0,,0,,,
,Cesarzowa Cwieka,0,,0,,,
,Conjudred,0,,0,,,
,Cosmic Dancer,0,,0,,,
,Cyril Figgis,0,,0,,,
,D23,0,,0,,,
,Dabb,0,,0,,,
,Dacage,0,,0,,,
,Dafur,0,,0,,,
,Deep Inside,0,,0,,,
,Defur,0,,0,,,
