DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2024-01-27,Forin,Bank,Silver Chest,30,TMS
2024-01-27,Forin,Bank,Silver Chest,30,TMS
2024-01-27,Forin,Bank,Silver Chest,30,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Forin,Bank,Bronze Chest,20,TMS
2024-01-27,Forin,Bank,Bronze Chest,20,TMS
2024-01-27,Forin,Bank,Bronze Chest,20,TMS
2024-01-27,bookworm,Bank,Wooden Chest,10,TMS
2024-01-27,bookworm,Bank,Wooden Chest,10,TMS
2024-01-27,bookworm,Bank,Wooden Chest,10,TMS
2024-01-27,bookworm,Bank,Golden Chest,50,TMS
2024-01-27,bookworm,Bank,Golden Chest,50,TMS
2024-01-27,bookworm,Bank,Golden Chest,50,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,Nightraven,Bank,Wooden Chest,10,TMS
2024-01-27,bookworm,Bank,Precious Chest,100,TMS
2024-01-27,bookworm,Bank,Precious Chest,100,TMS
2024-01-27,bookworm,Bank,Precious Chest,100,TMS
2024-01-27,Ladora,Bank,Precious Chest,100,TMS
2024-01-27,Ladora,Bank,Precious Chest,100,TMS
2024-01-27,Ladora,Bank,Precious Chest,100,TMS
2024-01-27,Cimorene,Bank,Wooden Chest,10,TMS
2024-01-27,Cimorene,Bank,Wooden Chest,10,TMS
2024-01-27,Cimorene,Bank,Wooden Chest,10,TMS
2024-01-27,Ladora,Bank,Wooden Chest,10,TMS
2024-01-27,Ladora,Bank,Wooden Chest,10,TMS
2024-01-27,Ladora,Bank,Wooden Chest,10,TMS
2024-01-27,Eyloten,Bank,Golden Chest,50,TMS
2024-01-27,Eyloten,Bank,Golden Chest,50,TMS
2024-01-27,Eyloten,Bank,Golden Chest,50,TMS
2024-01-27,Deercamp,Bank,Wooden Chest,10,TMS
2024-01-27,Deercamp,Bank,Wooden Chest,10,TMS
2024-01-27,Deercamp,Bank,Wooden Chest,10,TMS
2024-01-27,Oligarch,Level 15 Crypt,Gnome Workshop Chest,17,TMS
2024-01-27,Sabriell,Level 15 epic Crypt,House of Horrors Chest,34,TMS
2024-01-27,George,Level 15 epic Crypt,Ancient Bastion Chest,34,TMS
2024-01-27,Saintos,Level 10 Crypt,Cobra Chest,4,TMS
2024-01-27,Saintos,Level 5 Crypt,Stone Chest,1,TMS
2024-01-27,Forin,Level 10 Crypt,Stone Chest,4,TMS
2024-01-27,Forin,Level 5 Crypt,Orc Chest,1,TMS
2024-01-27,Forin,Level 10 Citadel,Elven Citadel Chest,4,TMS
2024-01-27,Saintos,Level 10 Crypt,Orc Chest,4,TMS
2024-01-27,Sabriell,Level 15 Citadel,Elven Citadel Chest,17,TMS
2024-01-27,Nightraven,Level 10 Crypt,Ore Chest,4,TMS
2024-01-27,Nader297,Level 5 Crypt,sand Chest,1,TMS
2024-01-27,Nader297,Level 5 Crypt,Elegant Chest,1,TMS
2024-01-27,Sabriell,Level 5 Crypt,Stone Chest,1,TMS
2024-01-27,Sergen,Level 5 Crypt,Elegant Chest,1,TMS
2024-01-27,Lady Caroline,Level 15 Crypt,Infernal Chest,17,TMS
2024-01-27,Lady Caroline,Level 5 Crypt,Fire Chest,1,TMS
2024-01-27,Masius,Arena,Gladiator's Chest,2,TMS
2024-01-27,Saintos,Level 10 Crypt,Forgotten Chest,4,TMS
2024-01-27,George,Level 15 Citadel,Elven Citadel Chest,17,TMS
2024-01-27,Sergen,Level 10 Crypt,Elegant Chest,4,TMS
2024-01-27,Saintos,Level 5 Crypt,Gnome Workshop Chest,1,TMS
2024-01-27,Forin,Level 15 epic Crypt,Priest's Chest,34,TMS
2024-01-27,George,Level 10 Crypt,Infernal Chest,4,TMS
2024-01-27,Lady Caroline,Level 10 Citadel,Elven Citadel Chest,4,TMS
2024-01-27,Sabriell,Level 10 Crypt,Stone Chest,4,TMS
2024-01-27,Masius,Level 10 rare Crypt,Rare Dragon Chest,6,TMS
2024-01-27,Jon Snow,Level 10 Crypt,Cobra Chest,4,TMS
2024-01-27,Forin,Level 10 rare Crypt,Rare Dragon Chest,6,TMS
2024-01-27,Jon Snow,Level 10 Crypt,Barbarian Chest,4,TMS
