PLAYER,SCORE,COUNT
Sabriell,2218,118
bookworm,2076,158
Robot Monk,2054,67
George,1765,67
Forin,1751,83
Natho,1524,58
Tashicage,1511,59
Lardrien,1471,47
Relentless Realist,1341,61
Augustus II,1310,50
Cimorene,1174,72
Oligarch,1060,49
Wil the Second,1004,24
Adia,990,25
Dibbers,925,33
Nightraven,924,77
Bazan,898,42
Lanfirilas,855,18
Meninad,695,85
Jon Snow,682,46
Hippo,678,33
Porcelain God,661,39
Eyloten,648,16
Funduen,613,39
Sergen,524,16
Ladora,485,11
RoscoPikoTrain,427,20
Saintos,329,64
Lemans I,327,26
Frankdrovard,302,7
Leonardopas,252,22
Tijoo Jagn II,239,18
Turin,216,15
Masius,213,8
Nader297,207,8
Maira,197,9
Emily,184,4
Deercamp,183,18
Julia Ukraine,170,9
Ferdana,150,3
Lady Caroline,121,16
Turgon,72,9
Nimdriel,67,6
Rouli,27,9
Aunaya,15,15
Profit,14,14
Ranger,14,14
TuranTurkl,14,6
Gazius,14,4
Arfiring,12,8
Elrond,11,11
Master Rasta,10,4
ilbasan04,9,6
Luchduen,9,3
Nilaath,7,7
Piston01,6,3
Purefont,5,2
SULTANROVSHAN,4,4
AndosTheGreat,4,1
MB,4,1
Larduen,3,3
Samugor,3,3
Taucage,3,3
Fosida,2,2
Rainbrand,1,1
tsezar,1,1
TMS,0,44
Adorahuginn,0,0
Adorariel,0,0
Another Adventurer,0,0
Arduen,0,0
Areda,0,0
Ariadna,0,0
Ayve,0,0
BLAQSCOPE,0,0
Bagas,0,0
Belang,0,0
Blue Jay24,0,0
Cedora,0,0
Dafur,0,0
Deyernus,0,0
Dibrineyl,0,0
Dimes,0,0
Elduel,0,0
Elrohan,0,0
Eyfanad,0,0
Fekasa,0,0
Feninor,0,0
Finiing,0,0
Fordrellador,0,0
Goltikasa,0,0
Granidred,0,0
I,0,0
Jericho,0,0
Justice,0,0
Kody,0,0
Kurezak,0,0
Marafil,0,0
Mightshaper,0,0
Nerin,0,0
Nijurus,0,0
Noli,0,0
Ozinvud,0,0
Pryntyl,0,0
ROOIKAT,0,0
Rakanalbqoom,0,0
Sallotilas,0,0
Sevinc,0,0
Sevine,0,0
Shathis,0,0
Stoqn,0,0
Strategor,0,0
THE ARCHITECT,0,0
Terin,0,0
Tojakora,0,0
Turledef,0,0
Umswyn,0,0
ahmad,0,0
balder sr,0,0
mjavadshah,0,0
shero,0,0
