PLAYER,,COUNT,TIER,SCORE,,,,
Cesarz Saleka,,484,1,55041,,,,5978
Hulk,,211,1,42810,,,,
Brandemet,,279,1,31844,,,,
SJ III SoH,,152,1,18093,,,,
KARMA,,104,1,14480,,,,
Rhodry,,100,1,13898,,,,
Feli,,99,1,12866,,,,
Karodor,,201,1,12326,,,,
Tumitac,,91,1,11948,,,,
Gradog,,59,1,8559,,,,
DAJMITU,,48,1,7391,,,,
Heretical Hermit,,20,1,5935,,,,
RatkoM,,24,1,5769,,,,
Mal the Uncrowned,,45,1,5341,,,,
Lirinir,,33,1,4431,,,,
Mr BaCk,,57,1,4275,,,,
Braveheart,,103,1,4164,,,,
Mighty Forger,,40,1,3720,,,,
Max Decimus,,49,1,3553,,,,
Grosvenor,,40,1,3271,,,,
Rudolf,,115,1,3085,,,,
Luciditee,,37,1,3048,,,,
Genghis Khan,,45,1,2964,,,,
Marvi,,73,1,2861,,,,
Diabolik,,56,1,2169,,,,
Kerilir,,43,1,1895,,,,
Legolas,,15,1,1515,,,,
Immortal,,57,1,1256,,,,
Foxhunter,,18,1,1081,,,,
Rain,,22,1,1013,,,,
ZaCk,,41,1,676,,,,
Conjudred,,12,1,613,,,,
Mabrinad,,137,2,22447,,,,
Uhtred,,151,2,13493,,,,
Alberikh,,127,2,12829,,,,
Thorn,,57,2,6135,,,,
Fosida,,62,2,5739,,,,
Thoth,,74,2,5467,,,,
Muradin Bb,,97,2,3836,,,,
Deep Inside,,30,2,3797,,,,
Eydaen,,131,2,3596,,,,
D23,,77,2,3490,,,,
Foolish Mortal,,108,2,3433,,,,
Sir RES,,139,2,3043,,,,
Maedrosin,,32,2,2634,,,,
Xena,,82,2,2559,,,,
Vlad the Impaler,,82,2,2287,,,,
Rebellion,,54,2,2195,,,,
Pearl,,57,2,2173,,,,
Tex Willer,,21,2,1829,,,,
DarkAngel,,61,2,1525,,,,
Dragon Armor,,46,2,1420,,,,
Painmoon,,37,2,1384,,,,
Amginir,,20,2,1208,,,,
Rhodorix,,57,2,1111,,,,
Bjorn,,15,2,865,,,,
Viper I,,35,2,835,,,,
Fire Armor,,34,2,710,,,,
Rainblade,,31,2,661,,,,
Xan,,28,2,561,,,,
MILI,,8,2,103,,,,
Sailv,,133,3,6515,,,,
Sire Menion,,69,3,5282,,,,
Lady G,,91,3,3882,,,,
Sir Chthulhu I,,37,3,2868,,,,
RED GUARDIAN,,48,3,2631,,,,
Nevyn,,37,3,2207,,,,
Mazura,,47,3,1192,,,,
T NOBUNAGA,,57,3,1176,,,,
M MUSASHI,,52,3,1143,,,,
Kirimand,,46,3,1031,,,,
Mingo 2,,23,3,895,,,,
Saucy Joy,,37,3,835,,,,
EL CHAPO GUZMAN,,41,3,833,,,,
Lorfanor,,25,3,758,,,,
Felharne,,18,3,720,,,,
Masius,,35,3,712,,,,
Grozilkree,,49,3,690,,,,
L G BRANDON,,35,3,609,,,,
zipkinci,,22,3,589,,,,
Cesarzowa Cwieka,,19,3,533,,,,
Dugul,,22,3,420,,,,
StarSailor,,12,3,337,,,,
Nobody special,,21,3,291,,,,
Sassy Gal,,27,3,262,,,,
Marvilla,,65,3,250,,,,
Pryntyl,,12,3,240,,,,
Silverblade,,20,3,150,,,,
Lanfir,,42,3,65,,,,
Secret Keeper,,7,3,53,,,,
Cyril Figgis,,3,3,51,,,,
Lerinad,,3,3,51,,,,
Puck,,10,3,42,,,,
Quick,,5,3,20,,,,
MMM,,145,,2500,,,,
3CPo,,0,,0,,,,
Aegrosad,,0,,0,,,,
Arni,,0,,0,,,,
Bad FutherMucker,,0,,0,,,,
Black Mamba,,0,,0,,,,
Brightskin,,0,,0,,,,
Catty,,0,,0,,,,
Cenaya,,0,,0,,,,
Cosmic Dancer,,0,,0,,,,
Digore,,0,,0,,,,
FERDAUS,,0,,0,,,,
Fagon,,0,,0,,,,
Gros jnr,,0,,0,,,,
Haiiro,,0,,0,,,,
Jeepster,,0,,0,,,,
Jill,,0,,0,,,,
Kajko,,0,,0,,,,
Karo 3,,0,,0,,,,
Kit Carson,,0,,0,,,,
Kokosz,,0,,0,,,,
Kordobrek,,0,,0,,,,
Kyperion Du Torbiney,,0,,0,,,,
Legon,,0,,0,,,,
MMMm,,0,,0,,,,
Maanan,,0,,0,,,,
Mador,,0,,0,,,,
Maelstrom,,0,,0,,,,
Manandis,,0,,0,,,,
Marco,,0,,0,,,,
MarcusTulliusCicero,,0,,0,,,,
Meddry,,0,,0,,,,
Norbee1984,,0,,0,,,,
Ognisty Smok,,0,,0,,,,
Ray Gillette,,0,,0,,,,
Sabar,,0,,0,,,,
Smokn,,0,,0,,,,
Tonto,,0,,0,,,,
Turbrimir,,0,,0,,,,
Tygradi,,0,,0,,,,
Xavier St Cloud,,0,,0,,,,
Xenia,,0,,0,,,,
semoury,,0,,0,,,,
