PLAYER,SCORE,COUNT,TIER
3CPo,256,8,3
Alberikh,16325,119,2
Amginir,6127,51,2
Archie,1479,26,3
Bjorn,4877,84,1
Brandemet,12662,225,1
Braveheart,15110,241,1
Braveheart JNR,134,4,3
Cain,830,84,3
Cesarz Saleka,19758,92,1
Cesarzowa Cwieka,573,23,3
Conjudred,5410,46,1
D23,8321,110,2
DAJMITU,2867,26,1
DarkAngel,5103,105,2
Deep Inside,336,4,2
Diabolik,27109,248,1
Digore,15,6,3
Dr Bruce BANNER,151,12,3
Dragon Armor,516,32,2
Dugul,606,27,3
EL CHAPO GUZMAN,544,32,3
Eydaen,14087,225,2
Feli,35462,187,1
Fire Armor,711,35,2
Foolish Mortal,6242,101,2
Fosida,12329,153,2
Foxhunter,240,4,1
Genghis Khan,5297,76,1
Gradog,6831,57,1
Grosvenor,5153,37,1
Grozilkree,2229,101,3
Heretical Hermit,7371,29,1
Hulk,199302,552,1
Immortal,2786,115,1
Immortal I,112,5,3
KARMA,8824,49,1
Karodor,9169,110,1
Karodor2,5620,219,3
KASS,56,47,3
Kerilir,2465,33,1
Kirimand,3410,112,3
Lady G,1717,31,2
Lanfir,65,32,3
Legolas,11742,106,1
Lirinir,7772,33,1
Lorfanor,1470,43,3
Luciditee,4048,43,1
Mabrinad,23379,102,2
Maedrosin,4708,56,2
Mal the Uncrowned,9853,45,1
Marvi,6238,149,1
Marvilla,1183,75,3
Masius,893,22,3
Maximus Decimus,5797,47,1
Mazura,1512,77,3
Mighty Forger,29151,180,1
MILI,2348,69,2
Mingo 2,910,17,3
MIYAMOTO MUSASHI,708,30,3
MMM,6200,1966,
MONTES,5342,113,2
Mr BaCk,3423,41,1
Muradin Bronzebeard,8194,158,2
Nevyn,2384,45,3
Nobody special,735,30,3
Painmoon,1805,49,2
Pearl,10057,128,2
Pryntyl,38,7,3
Puck,58,13,3
Quick,32,8,3
Rain,2603,27,1
Rainblade,4164,113,2
RatkoM,10174,78,1
Rebellion,6218,362,2
RED GUARDIAN,4833,66,3
Rhodorix,3404,66,2
Rhodry,70508,240,1
Rudolf,3290,90,1
Sailv,13949,239,3
Sassy Gal,1133,49,3
Saucy Joy,1084,51,3
Silverblade,2970,178,3
Sir Chthulhu I,5300,88,3
Sir James III Son of Hadur,27935,170,1
Sir RES,4933,148,2
Sire Menion,6049,80,2
StarSailor,356,7,3
Tex Willer,2768,26,2
Thorn,30088,276,2
Thoth,4662,52,2
TOKUGAWA NOBUNAGA,1227,40,3
Tumitac,8895,109,1
Uhtred,11177,155,2
Viper I,1407,63,2
Vlad the Impaler,7451,193,2
Xan,3452,121,2
Xena,6485,126,2
ZaCk,2191,54,1
zipkinci,170,10,3
Aegrosad,0,0,
Arni,0,0,
Bad FutherMucker,0,0,
Black Mamba,0,0,
Brightskin,0,0,
Catty,0,0,
Cenaya,0,0,
Cosmic Dancer,0,0,
Cyril Figgis,0,0,
FERDAUS,0,0,
Fagon,0,0,
Felharne,0,0,
Gros jnr,0,0,
Haiiro,0,0,
Jeepster,0,0,
Jill,0,0,
Kajko,0,0,
Karo 3,0,0,
Kit Carson,0,0,
Kokosz,0,0,
Kordobrek,0,0,
Kyperion Du Torbiney,0,0,
LETS GO BRANDON,0,0,
Legon,0,0,
Lerinad,0,0,
MMMm,0,0,
Maanan,0,0,
Mador,0,0,
Maelstrom,0,0,
Manandis,0,0,
Marco,0,0,
MarcusTulliusCicero,0,0,
Meddry,0,0,
Norbee1984,0,0,
Ognisty Smok,0,0,
Ray Gillette,0,0,
Sabar,0,0,
Secret Keeper,0,0,
Smokn,0,0,
Tonto,0,0,
Turbrimir,0,0,
Tygradi,0,0,
Xavier St Cloud,0,0,
Xenia,0,0,
semoury,0,0,
