PLAYER,SCORE,COUNT,TIER
Hulk,47980,156,1
Cesarz Saleka,27517,135,1
Rhodry,24175,85,1
Karodor,11782,96,1
RatkoM,10630,42,1
Heretical Hermit,10155,50,1
Sir James III Son of Hadur,7935,46,1
KARMA,7796,28,1
Brandemet,6706,74,1
Tumitac,6100,36,1
Gradog,5479,36,1
Braveheart,5073,45,1
Mighty Forger,4447,29,1
Conjudred,4262,32,1
Legolas,4191,31,1
Mr BaCk,4154,43,1
Marvi,4041,69,1
Grosvenor,3697,19,1
Foolish Mortal,3449,44,1
Lirinir,3297,28,1
Foxhunter,3240,20,1
Feli,2954,31,1
Genghis Khan,2851,74,1
Mal the Uncrowned,2599,26,1
DAJMITU,2249,12,1
Rudolf,1912,47,1
Rain,1572,23,1
Luciditee,1444,14,1
Kerilir,1365,25,1
Diabolik,1279,23,1
Immortal,737,44,1
Bjorn,486,8,1
Racibor,13007,85,2
Muradin Bronzebeard,8067,58,2
Thoth,7099,54,2
Uhtred,6274,67,2
Fosida,6226,66,2
D23,6047,98,2
Xena,5774,99,2
Alberikh,5722,38,2
Vlad the Impaler,5310,117,2
Maedrosin,4024,32,2
Morg,3492,48,2
Rebellion,3418,70,2
DarkAngel,3138,52,2
nervous,3094,99,2
Tricolor Carioca,2873,42,2
Eydaen,2687,89,2
Rainblade,2566,57,2
Pearl,2434,25,2
Mabrinad,2373,27,2
NEVIO,2365,21,2
Sir RES,2127,78,2
MILI,2091,37,2
MONTES,1659,216,2
Painmoon,1339,23,2
Well Constantino,1333,27,2
Sire Menion,1250,15,2
Fire Armor,1238,26,2
Thorn,1159,13,2
Xan,959,16,2
Amginir,700,13,2
Turbrimir,412,38,2
Sir Cthulhu I,6463,43,3
Sailv,3574,78,3
RED GUARDIAN,2533,50,3
Bamsi,1853,65,3
Marcelo,1369,57,3
Nygus,1294,64,3
Rhodorix,1244,14,3
StarSailor,1187,21,3
Kirimand,1050,43,3
Mazura,1014,39,3
zipkinci,858,26,3
Saucy Joy,839,24,3
Grikelv,831,24,3
Lorfanor,809,15,3
Monster Killer,771,34,3
Dafur,749,22,3
Xenia,739,24,3
Digore,718,19,3
Braveheart JNR,706,16,3
Grozilkree,646,26,3
Meddry,527,25,3
TOKUGAWA NOBUNAGA,382,14,3
Maanan,359,21,3
Manandis,223,4,3
Lady G,202,3,3
Doctor Krieger,201,6,3
DON IRON MIKE TYSON,187,11,3
Silverblade,121,17,3
Lanfir,47,25,3
Nobody special,37,6,3
Funfiren,17,1,3
Lilor,15,6,3
Dr Bruce BANNER,1,1,3
Jill,0,0,3
3CPo,0,0,3
MMM,6250,767,
Smok,12,3,
Aegrosad,0,0,
Archie,0,0,
Arni,0,0,
Bad FutherMucker,0,0,
Black Mamba,0,0,
Brightskin,0,0,
Cain,0,0,
Catty,0,0,
Cenaya,0,0,
Cesarzowa Cwieka,0,0,
Cosmic Dancer,0,0,
Cyril Figgis,0,0,
Deep Inside,0,0,
Dragon Armor,0,0,
Dugul,0,0,
EL CHAPO GUZMAN,0,0,
FERDAUS,0,0,
Fagon,0,0,
Felharne,0,0,
Gros jnr,0,0,
Haiiro,0,0,
Immortal I,0,0,
Jeepster,0,0,
KASS,0,0,
Kajko,0,0,
Karo 3,0,0,
Karodor2,0,0,
Kit Carson,0,0,
Kokosz,0,0,
Kordobrek,0,0,
Kyperion Du Torbiney,0,0,
LETS GO BRANDON,0,0,
Legon,0,0,
Lerinad,0,0,
MIYAMOTO MUSASHI,0,0,
MMMm,0,0,
Mador,0,0,
Maelstrom,0,0,
Marco,0,0,
MarcusTulliusCicero,0,0,
Marvilla,0,0,
Masius,0,0,
Maximus Decimus,0,0,
Mingo 2,0,0,
Nevyn,0,0,
Norbee1984,0,0,
Ognisty Smok,0,0,
Pryntyl,0,0,
Puck,0,0,
Quick,0,0,
Ray Gillette,0,0,
Sabar,0,0,
Sassy Gal,0,0,
Secret Keeper,0,0,
Sir Chthulhu I,0,0,
Smokn,0,0,
Tex Willer,0,0,
Tonto,0,0,
Tygradi,0,0,
Viper I,0,0,
Xavier St Cloud,0,0,
ZaCk,0,0,
semoury,0,0,
