DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2024-01-06,Well Constantino,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-06,Well Constantino,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-06,Darvenen,Level 15 Crypt,Barbarian Chest,17,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Diovani,Level 10 Citadel,Elven Citadel Chest,4,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Diovani,Level 10 Citadel,Elven Citadel Chest,4,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Sir James III Son of Hadur,Level 24 heroic Monster,Barbarian Chest,110,MMM
2024-01-06,Diovani,Level 10 Citadel,Elven Citadel Chest,4,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Well Constantino,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-06,Well Constantino,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-06,Well Constantino,Level 20 Crypt,Mayan Chest,84,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Well Constantino,Level 20 Crypt,Mayan Chest,84,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Well Constantino,Level 20 Citadel,Elven Citadel Chest,84,MMM
2024-01-06,Well Constantino,Level 20 Crypt,Stone Chest,84,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Sir James III Son of Hadur,Level 15 Crypt,Barbarian Chest,17,MMM
2024-01-06,Sir James III Son of Hadur,Level 20 Crypt,Infernal Chest,84,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Sir James III Son of Hadur,Level 20 Crypt,Barbarian Chest,84,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Funfiren,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,Darvenen,Level 10 Crypt,Elegant Chest,4,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Mr BaCk,Lvl 35-39 Raid Runic squad,Runic Chest,100,MMM
2024-01-06,Legolas,Level 25 Crypt,Orc Chest,275,MMM
2024-01-06,Mal,Level 30 Citadel,Elven Citadel Chest,380,MMM
2024-01-06,Diovani,Level 10 Citadel,Elven Citadel Chest,4,MMM
2024-01-06,Mr BaCk,Lvl 35-39 Raid Runic squad,Runic Chest,100,MMM
2024-01-06,Mal,Lvl 35-39 Raid Runic squad,Runic Chest,100,MMM
2024-01-06,Gradog,Arena,Gladiator's Chest,2,MMM
2024-01-06,Legolas,Level 25 Crypt,Orc Chest,275,MMM
2024-01-06,Mal,Lvl 25-29 Raid Runic squad,Runic Chest,50,MMM
2024-01-06,Mal,Level 10 Crypt,Gnome Workshop Chest,4,MMM
2024-01-06,Mal,Level 10 Crypt,Gnome Workshop Chest,4,MMM
2024-01-06,Mal,Level 10 Crypt,Infernal Chest,4,MMM
2024-01-06,Kirimand,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2024-01-06,Legolas,Level 25 Crypt,Orc Chest,275,MMM
2024-01-06,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,Mal,Level 15 epic Crypt,Priest's Chest,34,MMM
2024-01-06,Mal,Level 15 Crypt,Orc Chest,17,MMM
2024-01-06,Legolas,Level 25 rare Crypt,Rare Dragon Chest,350,MMM
2024-01-06,Legolas,Level 25 rare Crypt,Rare Dragon Chest,350,MMM
2024-01-06,Mal,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Berohef,Level 15 Crypt,Orc Chest,17,MMM
2024-01-06,Mal,Level 10 Crypt,Orc Chest,4,MMM
2024-01-06,Legolas,Level 25 rare Crypt,Rare Dragon Chest,350,MMM
2024-01-06,Berohef,Level 15 Crypt,Stone Chest,17,MMM
2024-01-06,Bamsi,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-06,Mal,Level 10 Crypt,Fire Chest,4,MMM
2024-01-06,Mal,Level 20 rare Crypt,Rare Dragon Chest,126,MMM
2024-01-06,Golgotha,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Mal,Level 15 Crypt,Forgotten Chest,17,MMM
2024-01-06,Mal,Level 30 rare Crypt,Rare Dragon Chest,500,MMM
2024-01-06,Legolas,Level 25 rare Crypt,Rare Dragon Chest,350,MMM
2024-01-06,Mal,Level 30 rare Crypt,Rare Dragon Chest,500,MMM
2024-01-06,Mal,Level 10 Crypt,Orc Chest,4,MMM
2024-01-06,Immortal,Level 15 Crypt,Barbarian Chest,17,MMM
2024-01-06,Bamsi,Level 15 Crypt,Orc Chest,17,MMM
2024-01-06,Mal,Level 10 Crypt,Fire Chest,4,MMM
2024-01-06,Legolas,Level 25 rare Crypt,Rare Dragon Chest,350,MMM
2024-01-06,Mal,Lvl 35-39 Raid Runic squad,Runic Chest,100,MMM
2024-01-06,Mal,Level 30 rare Crypt,Rare Dragon Chest,500,MMM
2024-01-06,Germanicus,Lvl 30-34 Raid Runic squad,Runic Chest,80,MMM
2024-01-06,Mal,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,Berohef,Level 15 Crypt,Orc Chest,17,MMM
2024-01-06,Diovani,Level 5 Crypt,Cobra Chest,1,MMM
2024-01-06,Diovani,Level 10 Crypt,Cobra Chest,4,MMM
2024-01-06,Gradog,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Germanicus,Lvl 35-39 Raid Runic squad,Runic Chest,100,MMM
2024-01-06,Mal,Level 30 rare Crypt,Rare Dragon Chest,500,MMM
2024-01-06,Sir Cthulhu I,Lvl 20-24 Raid Runic squad,Runic Chest,30,MMM
2024-01-06,Mal,Level 30 rare Crypt,Rare Dragon Chest,500,MMM
2024-01-06,Mal,Lvl 35-39 Raid Runic squad,Runic Chest,100,MMM
2024-01-06,Mal,Level 10 Crypt,Fire Chest,4,MMM
2024-01-06,Heretical Hermit,Lvl 45 Raid Runic squad,Runic Chest,150,MMM
2024-01-06,Mal,Level 25 rare Crypt,Rare Dragon Chest,350,MMM
2024-01-06,Mal,Level 10 Crypt,Fire Chest,4,MMM
2024-01-06,Mal,Level 30 rare Crypt,Rare Dragon Chest,500,MMM
2024-01-06,Mal,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Bamsi,Lvl 25-29 Raid Runic squad,Runic Chest,50,MMM
2024-01-06,Heretical Hermit,Lvl 45 Raid Runic squad,Runic Chest,150,MMM
2024-01-06,Diovani,Level 5 Crypt,Orc Chest,1,MMM
2024-01-06,Mal,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Mal,Level 10 Crypt,Fire Chest,4,MMM
2024-01-06,Mal,Level 20 Crypt,Cobra Chest,84,MMM
2024-01-06,Immortal,Level 15 Crypt,Gnome Workshop Chest,17,MMM
2024-01-06,Bamsi,Level 10 Citadel,Elven Citadel Chest,4,MMM
2024-01-06,Mal,Level 10 Crypt,Sand Chest,4,MMM
2024-01-06,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,Immortal,Level 15 Crypt,Infernal Chest,17,MMM
2024-01-06,Diovani,Level 20 Crypt,Mayan Chest,84,MMM
2024-01-06,Germanicus,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Legolas,Level 25 rare Crypt,Rare Dragon Chest,350,MMM
2024-01-06,Sir James III Son of Hadur,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,Legolas,Level 25 epic Crypt,Scarab Chest,550,MMM
2024-01-06,Legolas,Level 25 epic Crypt,Chest of the Cursed,550,MMM
2024-01-06,Germanicus,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Legolas,Level 25 epic Crypt,Ancient Bastion Chest,550,MMM
2024-01-06,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,Marcelo,Level 15 Crypt,Orc Chest,17,MMM
2024-01-06,Legolas,Level 25 epic Crypt,Scorpion Chest,550,MMM
2024-01-06,Legolas,Level 25 epic Crypt,Abandoned Chest,550,MMM
2024-01-06,Marcelo,Level 20 Crypt,Forgotten Chest,84,MMM
2024-01-06,LUCKY BEAR,Level 5 Crypt,Sand Chest,1,MMM
2024-01-06,doc48,Arena,Gladiator's Chest,2,MMM
2024-01-06,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,Marcelo,Level 15 Crypt,Bone Chest,17,MMM
2024-01-06,Gradog,Epic Undead squad,Epic Monster Chest,500,MMM
2024-01-06,Gradog,Epic Undead squad,Epic Monster Chest,500,MMM
2024-01-06,Gradog,Epic Undead squad,Epic Monster Chest,500,MMM
2024-01-06,Gradog,Epic Undead squad,Epic Monster Chest,500,MMM
2024-01-06,Gradog,Epic Undead squad,Epic Monster Chest,500,MMM
2024-01-06,Gradog,Epic Undead squad,Epic Monster Chest,500,MMM
2024-01-06,Gradog,Epic Undead squad,Epic Monster Chest,500,MMM
2024-01-06,Marcelo,Level 15 Crypt,Bone Chest,17,MMM
2024-01-06,LUCKY BEAR,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2024-01-06,Marcelo,Level 10 Crypt,Cobra Chest,4,MMM
2024-01-06,Marcelo,Level 15 Crypt,Bone Chest,17,MMM
2024-01-06,LUCKY BEAR,Level 10 Crypt,Mayan Chest,4,MMM
2024-01-06,LUCKY BEAR,Lvl 30-34 Raid Runic squad,Runic Chest,80,MMM
2024-01-06,doc48,Level 10 Crypt,Cobra Chest,4,MMM
2024-01-06,Feli,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Berohef,Level 15 Crypt,Orc Chest,17,MMM
2024-01-06,doc48,Level 15 Crypt,Sand Chest,17,MMM
2024-01-06,Berohef,Level 15 Crypt,Stone Chest,17,MMM
2024-01-06,LUCKY BEAR,Level 15 Citadel,Elven Citadel Chest,17,MMM
2024-01-06,Feli,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,LUCKY BEAR,Level 15 rare Crypt,Rare Dragon Chest,25,MMM
2024-01-06,Diovani,Level 5 Crypt,Elegant Chest,1,MMM
2024-01-06,Marcelo,Level 10 Crypt,Cobra Chest,4,MMM
2024-01-06,Feli,Lvl 40-44 Raid Runic squad,Runic Chest,125,MMM
2024-01-06,Marcelo,Level 15 epic Crypt,Trillium Chest,34,MMM
