PLAYER,ELVEN_10,ELVEN_15,ELVEN_20,ELVEN_25,ELVEN_30,CURSED_20,CURSED_25,TOTAL
Fabrinir,0,23,3,60,0,10,463,559
LUCKY BEAR,0,375,0,0,0,0,0,375
Marvi,21,18,18,9,0,48,175,289
NEVIO,0,10,0,0,0,151,121,282
Heretical Hermit,0,0,0,1,204,0,1,206
Rhodry,1,4,0,1,38,3,132,179
Tumitac,1,0,0,62,0,0,87,150
Alberikh,0,0,0,30,0,0,111,141
Diovani,106,5,0,0,0,28,1,140
Granidred,19,54,29,0,0,15,2,119
Diabolik,30,36,28,2,0,21,1,118
Mr BaCk,0,21,34,5,4,17,31,112
Sir James III Son of Hadur,0,32,15,29,11,0,0,87
Mal,0,5,5,0,62,0,0,72
Xan,0,0,65,0,0,4,0,69
Snowberry,35,3,16,0,0,9,3,66
Braveheart,0,5,9,32,15,1,0,62
Maveriel,30,31,0,0,0,0,0,61
Legolas,0,0,0,26,0,0,33,59
Morg,0,0,12,45,0,0,1,58
Germanicus,0,0,0,39,10,0,8,57
DarkAngel,46,8,0,0,0,0,0,54
Sir RES,11,23,13,0,0,3,0,50
Menelaos,2,17,22,6,0,2,0,49
Brandemet,1,5,6,1,0,2,30,45
Hulk,0,0,1,0,44,0,0,45
Mighty Forger,0,0,35,10,0,0,0,45
Rudolf,1,1,25,2,0,12,2,43
Eydaen,16,11,9,0,0,6,0,42
Marcelo,14,10,16,0,0,1,0,41
Gradog,0,0,0,40,0,0,0,40
Monaoka,0,0,40,0,0,0,0,40
Grozilkree,11,10,13,0,0,5,0,39
Berohef,0,38,0,0,0,0,0,38
Foolish Mortal,5,7,19,2,4,0,0,37
Mabrinad,1,4,16,1,0,6,9,37
Rudepravo Italiano,16,7,0,2,1,7,4,37
Sir Cthulhu I,8,9,2,15,0,0,1,35
AlexLeroc,1,7,13,0,0,12,0,33
Racibor,0,6,12,4,0,11,0,33
Kosti,0,0,23,0,0,9,0,32
Funfiren,16,13,1,0,0,0,0,30
Jaakarhu,0,0,28,2,0,0,0,30
Uhtred,0,0,18,0,0,12,0,30
White Knight,0,5,25,0,0,0,0,30
Feli,0,1,19,0,2,6,0,28
Nilaath,2,20,0,5,0,0,0,27
Akinomuro,0,26,0,0,0,0,0,26
Well Constantino,0,2,22,0,0,2,0,26
Defur,25,0,0,0,0,0,0,25
Vugul,0,24,0,0,0,0,0,24
Bamsi,8,8,7,0,0,0,0,23
MADMAN,0,12,9,2,0,0,0,23
Marvilla,9,13,0,0,0,1,0,23
Amginir,3,7,3,0,0,8,0,21
Grikelv,0,8,9,0,0,3,0,20
Maedrosin,4,6,6,1,0,3,0,20
Thoth,0,0,20,0,0,0,0,20
Golgotha,4,8,6,0,0,0,0,18
Fosida,3,4,0,0,0,10,0,17
Portia,9,6,2,0,0,0,0,17
TOKUGAWA NOBUNAGA,8,7,1,0,0,0,0,16
Vlad the Impaler,4,5,5,1,0,1,0,16
Thorn,0,0,0,2,0,0,9,11
Lady G,2,8,0,0,0,0,0,10
Magda Ewa,0,0,8,0,0,2,0,10
Foxhunter,1,0,2,2,0,2,2,9
MONTES P,8,0,1,0,0,0,0,9
Logan,3,1,1,0,0,2,0,7
Lorfanor,3,1,2,0,0,0,0,6
Rainblade,1,3,1,0,0,0,0,5
Vatharia,0,0,5,0,0,0,0,5
Lardrien,4,0,0,0,0,0,0,4
Ladacznica,0,3,0,0,0,1,0,4
doc48,2,0,0,0,1,0,0,3
Lirinir,0,0,0,0,2,0,0,2
MILI,1,0,1,0,0,0,0,2
SheHulk,0,1,1,0,0,0,0,2
Viper,2,0,0,0,0,0,0,2
DAJMITU,0,0,0,1,0,0,0,1
Kirimand,1,0,0,0,0,0,0,1
idaco,0,0,0,0,0,1,0,1
