PLAYER,SCORE,COUNT
Marvi,135221,947
Heretical Hermit,126030,345
Germanicus,93264,320
Fabrinir,90737,365
Gradog,75093,262
Mal,63533,289
Rhodry,56061,234
NEVIO,52445,232
Thorn,50949,168
Tumitac,42493,163
Hulk,29344,117
Legolas,27484,92
Morg,25447,95
Sir James III Son of Hadur,22204,149
Mr BaCk,20285,154
Sir Cthulhu I,19284,92
Feli,19074,88
doc48,17262,104
Mighty Forger,15472,81
Diovani,15039,304
Diabolik,14917,145
Foolish Mortal,14637,82
Kosti,14101,129
Braveheart,14053,66
LUCKY BEAR,13463,296
Racibor,13327,93
MADMAN,12627,117
Alberikh,11968,75
Jaakarhu,11913,104
Maedrosin,11718,81
Snowberry,11449,153
Nilaath,10965,76
Granidred,10255,246
Mabrinad,10024,60
Lirinir,9705,61
Thoth,9663,97
Menelaos,9600,131
Fosida,9445,98
Marcelo,9394,204
Rudolf,8881,102
Sir RES,8877,204
White Knight,8652,63
Xan,8546,140
Grozilkree,8298,151
Bamsi,8218,98
Lady G,7508,110
SheHulk,7362,52
AlexLeroc,7277,77
Foxhunter,7262,67
Vlad the Impaler,7226,88
Amginir,7104,40
Bjorn,6776,62
Berohef,6677,187
Well Constantino,6614,57
Rainblade,6317,146
Rudepravo Italiano,6134,75
Magda Ewa,5948,62
DarkAngel,5621,283
Brandemet,5583,52
Immortal,5279,59
Monaoka,5107,63
Uhtred,4752,52
Grikelv,4311,67
Hermit 500,3986,36
Eydaen,3892,134
Golgotha,3576,54
Akinomuro,3488,47
Tha Supreme,3484,29
MILI,3416,53
DAJMITU,3342,23
Painmoon,3131,57
Vugul,2849,50
Ladacznica,2612,32
Funfiren,2510,64
Darvenen,2403,77
TOKUGAWA NOBUNAGA,2350,90
Portia,2222,27
Maveriel,2102,135
Logan,2085,24
3CPo,2051,13
attacking,2032,28
Ognisty Smok,2028,17
Kirimand,1812,75
zipkinci,1792,43
Sir Doc,1480,44
Vatharia,1351,9
Lerinad,1174,19
Masius,1138,23
Turbrimir,804,99
Kallen,699,24
Pryntyl,606,6
Tumi,528,5
MONA,457,23
MONTES P,386,25
Lardrien,363,42
Lorfanor,178,25
idaco,94,5
Morardin,3,3
MMM,0,1906
Accelerator,0,0
Aegrosad,0,0
Alexander Greek,0,0
Archie,0,0
Arni,0,0
Bad FutherMucker,0,0
Black Mamba,0,0
Brann Bronzebeard,0,0
Braveheart JNR,0,0
Brightskin,0,0
Bubino71,0,0
Bunnyman,0,0
Cain,0,0
Catty,0,0
Cenaya,0,0
Cerim,0,0
Cesarz Saleka,0,0
Cesarzowa Cwieka,0,0
Conjudred,0,0
Cosmic Dancer,0,0
Cyril Figgis,0,0
D23,0,0
DON IRON MIKE TYSON,0,0
Dabb,0,0
Dacage,0,0
Dafur,0,0
Deep Inside,0,0
Defur,0,0
Digore,0,0
Doctor Krieger,0,0
Dr Bruce BANNER,0,0
Dragon Armor,0,0
Drugo,0,0
Dugul,0,0
EL CHAPO GUZMAN,0,0
EVA,0,0
Eyfedef,0,0
FERDAUS,0,0
Fagon,0,0
Fanlotilas,0,0
Fearlessbeard,0,0
Felharne,0,0
Finan,0,0
Finvenen,0,0
Fire Armor,0,0
Fisk,0,0
Genghis Khan,0,0
Graveleye,0,0
Gros jnr,0,0
Grosvenor,0,0
Haiiro,0,0
Heimdall,0,0
Hermit,0,0
Immortal I,0,0
Jeepster,0,0
Jill,0,0
KARMA,0,0
KASS,0,0
Kajko,0,0
Kall,0,0
Karo,0,0
Karo 3,0,0
Karodor,0,0
Karodor2,0,0
Kerilir,0,0
Kit Carson,0,0
Kokosz,0,0
Kordobrek,0,0
Kyperion Du Torbiney,0,0
LETS GO BRANDON,0,0
Lady Hawke,0,0
Lanfir,0,0
Lanmoin,0,0
Legon,0,0
Lilor,0,0
Lirafin,0,0
Lordis,0,0
Luciditee,0,0
MIYAMOTO MUSASHI,0,0
MMMm,0,0
MONTES,0,0
Maanan,0,0
Mador,0,0
Maelstrom,0,0
Majkel,0,0
Mal the Uncrowned,0,0
Manandis,0,0
Marco,0,0
MarcusTulliusCicero,0,0
Marvilla,0,0
Marvina,0,0
Mausida,0,0
Maximus Decimus,0,0
Mazura,0,0
Meddry,0,0
Minerva,0,0
Mingo 2,0,0
Modnar,0,0
Moginn,0,0
Mogra,0,0
Monster Killer,0,0
Morn,0,0
Muradin Bronzebeard,0,0
NaChos,0,0
Nevio500,0,0
Nevyn,0,0
Nobody special,0,0
Norbee1984,0,0
Nygus,0,0
Ollin,0,0
Osferth,0,0
Pearl,0,0
Priligy,0,0
Puck,0,0
Quick,0,0
RED GUARDIAN,0,0
Rain,0,0
RatkoM,0,0
Ray Gillette,0,0
Raya,0,0
Rebellion,0,0
RedDragon,0,0
Rexfury,0,0
Rhodorix,0,0
Rori,0,0
SJ,0,0
Sabar,0,0
Sailv,0,0
Samujas,0,0
Sassy Gal,0,0
Saucy Joy,0,0
Secret Keeper,0,0
Sihtric,0,0
Silverblade,0,0
Sir Chthulhu I,0,0
Sire Menion,0,0
Sloth,0,0
Smok,0,0
Smokn,0,0
StarSailor,0,0
Steapa,0,0
Sterling Archer,0,0
Tex Willer,0,0
Teyuoan,0,0
The Gladiator,0,0
Thor,0,0
Thorn K500,0,0
Tolnozin,0,0
Tonto,0,0
Tricolor Carioca,0,0
Tygojind,0,0
Tygoran,0,0
Tygradi,0,0
Unicorn X,0,0
Viper,0,0
Viper I,0,0
Xavier St Cloud,0,0
Xena,0,0
Xenia,0,0
ZaCk,0,0
aganaway,0,0
desperados,0,0
here,0,0
mestesso,0,0
nallekarhu,0,0
nervous,0,0
semoury,0,0
